SENSE daaa 1 24-04-2019 00:37:22.894 T: 31.63679885864257 [C]; A:[-6, -28, 212]; H: 66.052001953125
SENSE daac 12 24-04-2019 00:37:45.767 T: 30.57599830627441 [C]; A:[12, -80, 212]; H: 69.7598876953125
SENSE daab 21 24-04-2019 00:37:46.188 T: 31.57439994812011 [C]; A:[54, -198, 146]; H: 65.05255126953125
SENSE daad 8 24-04-2019 00:37:46.105 T: 31.26239967346191 [C]; A:[-44, 46, 192]; H: 68.74517822265625
SENSE daaa 27 24-04-2019 00:37:47.129 T: 31.63679885864257 [C]; A:[0, -30, 232]; H: 65.99859619140625
SENSE daac 13 24-04-2019 00:37:46.631 T: 30.57599830627441 [C]; A:[10, -80, 208]; H: 69.7598876953125
SENSE daac 14 24-04-2019 00:37:47.852 T: 30.57599830627441 [C]; A:[10, -78, 212]; H: 69.7598876953125
SENSE daac 15 24-04-2019 00:37:48.398 T: 30.57599830627441 [C]; A:[12, -82, 204]; H: 69.7598876953125
SENSE daac 16 24-04-2019 00:37:48.964 T: 30.57599830627441 [C]; A:[4, -80, 220]; H: 69.7598876953125
SENSE daac 17 24-04-2019 00:37:49.505 T: 30.57599830627441 [C]; A:[10, -82, 210]; H: 69.7598876953125
SENSE daab 22 24-04-2019 00:37:46.761 T: 31.57439994812011 [C]; A:[56, -200, 144]; H: 65.05255126953125
SENSE daac 18 24-04-2019 00:37:50.051 T: 30.57599830627441 [C]; A:[16, -84, 250]; H: 69.7598876953125
SENSE daaa 28 24-04-2019 00:37:50.478 T: 31.63679885864257 [C]; A:[0, -26, 228]; H: 65.99859619140625
SENSE daad 9 24-04-2019 00:37:47.200 T: 31.19999885559082 [C]; A:[-42, 48, 192]; H: 68.77569580078125
SENSE daaa 29 24-04-2019 00:37:50.954 T: 31.63679885864257 [C]; A:[0, -36, 230]; H: 65.99859619140625
SENSE daaa 30 24-04-2019 00:37:51.535 T: 31.63679885864257 [C]; A:[0, -28, 228]; H: 65.99859619140625
SENSE daad 10 24-04-2019 00:37:51.275 T: 31.26239967346191 [C]; A:[-46, 52, 192]; H: 68.77569580078125
SENSE daaa 31 24-04-2019 00:37:52.007 T: 31.63679885864257 [C]; A:[0, -26, 224]; H: 65.99859619140625
SENSE daaa 32 24-04-2019 00:37:52.578 T: 31.63679885864257 [C]; A:[0, -26, 230]; H: 65.99859619140625
SENSE daad 11 24-04-2019 00:37:52.330 T: 31.26239967346191 [C]; A:[-42, 44, 192]; H: 68.77569580078125
SENSE daac 19 24-04-2019 00:37:53.392 T: 30.57599830627441 [C]; A:[6, -76, 210]; H: 69.7598876953125
SENSE daad 12 24-04-2019 00:37:53.305 T: 31.26239967346191 [C]; A:[-44, 48, 196]; H: 68.77569580078125
SENSE daac 20 24-04-2019 00:37:53.958 T: 30.57599830627441 [C]; A:[12, -78, 212]; H: 69.7598876953125
SENSE daac 21 24-04-2019 00:37:54.519 T: 30.51359939575195 [C]; A:[8, -80, 218]; H: 69.7904052734375
SENSE daad 13 24-04-2019 00:37:54.301 T: 31.26239967346191 [C]; A:[-42, 46, 192]; H: 68.77569580078125
SENSE daac 22 24-04-2019 00:37:55.060 T: 30.57599830627441 [C]; A:[8, -78, 210]; H: 69.7904052734375
SENSE daaa 33 24-04-2019 00:37:55.728 T: 31.69919967651367 [C]; A:[0, -30, 228]; H: 66.021484375
SENSE daad 14 24-04-2019 00:37:55.431 T: 31.19999885559082 [C]; A:[-42, 48, 192]; H: 68.74517822265625
SENSE daaa 34 24-04-2019 00:37:56.276 T: 31.63679885864257 [C]; A:[0, -32, 224]; H: 66.021484375
SENSE daaa 35 24-04-2019 00:37:56.816 T: 31.63679885864257 [C]; A:[-6, -24, 226]; H: 66.021484375
SENSE daab 23 24-04-2019 00:37:56.615 T: 31.57439994812011 [C]; A:[50, -196, 144]; H: 65.05255126953125
SENSE daaa 36 24-04-2019 00:37:57.293 T: 31.63679885864257 [C]; A:[-4, -24, 234]; H: 66.021484375
SENSE daad 15 24-04-2019 00:37:56.966 T: 31.19999885559082 [C]; A:[-44, 48, 192]; H: 68.74517822265625
SENSE daaa 37 24-04-2019 00:37:57.879 T: 31.63679885864257 [C]; A:[0, -28, 228]; H: 66.021484375
SENSE daab 24 24-04-2019 00:37:57.734 T: 31.57439994812011 [C]; A:[54, -200, 150]; H: 65.05255126953125
SENSE daaa 38 24-04-2019 00:37:58.455 T: 31.69919967651367 [C]; A:[0, -22, 230]; H: 66.021484375
SENSE daad 16 24-04-2019 00:37:58.301 T: 31.26239967346191 [C]; A:[-42, 48, 196]; H: 68.74517822265625
SENSE daaa 39 24-04-2019 00:37:58.977 T: 31.63679885864257 [C]; A:[0, -20, 228]; H: 66.021484375
SENSE daaa 40 24-04-2019 00:37:59.558 T: 31.63679885864257 [C]; A:[0, -24, 236]; H: 66.021484375
SENSE daad 17 24-04-2019 00:37:59.327 T: 31.19999885559082 [C]; A:[-46, 50, 200]; H: 68.7222900390625
SENSE daaa 41 24-04-2019 00:38:00.020 T: 31.57439994812011 [C]; A:[0, -28, 232]; H: 66.021484375
SENSE daaa 42 24-04-2019 00:38:00.591 T: 31.63679885864257 [C]; A:[0, -24, 232]; H: 66.021484375
SENSE daad 18 24-04-2019 00:38:00.342 T: 31.26239967346191 [C]; A:[-44, 50, 194]; H: 68.7222900390625
SENSE daaa 43 24-04-2019 00:38:01.063 T: 31.63679885864257 [C]; A:[0, -24, 226]; H: 66.021484375
SENSE daaa 44 24-04-2019 00:38:01.635 T: 31.63679885864257 [C]; A:[0, -22, 234]; H: 66.021484375
SENSE daad 19 24-04-2019 00:38:01.383 T: 31.19999885559082 [C]; A:[-42, 46, 194]; H: 68.7222900390625
SENSE daaa 45 24-04-2019 00:38:02.102 T: 31.63679885864257 [C]; A:[0, -24, 230]; H: 65.99859619140625
SENSE daaa 46 24-04-2019 00:38:02.688 T: 31.63679885864257 [C]; A:[0, -24, 228]; H: 65.99859619140625
SENSE daad 20 24-04-2019 00:38:02.422 T: 31.26239967346191 [C]; A:[-38, 50, 192]; H: 68.6917724609375
SENSE daaa 47 24-04-2019 00:38:03.150 T: 31.57439994812011 [C]; A:[0, -26, 228]; H: 65.99859619140625
SENSE daaa 48 24-04-2019 00:38:03.726 T: 31.69919967651367 [C]; A:[0, -26, 226]; H: 65.99859619140625
SENSE daaa 49 24-04-2019 00:38:04.198 T: 31.63679885864257 [C]; A:[0, -22, 224]; H: 65.99859619140625
SENSE daaa 50 24-04-2019 00:38:04.661 T: 31.63679885864257 [C]; A:[0, -28, 228]; H: 65.99859619140625
SENSE daab 25 24-04-2019 00:38:04.562 T: 31.57439994812011 [C]; A:[58, -198, 146]; H: 64.99151611328125
SENSE daac 23 24-04-2019 00:37:55.646 T: 30.57599830627441 [C]; A:[8, -78, 204]; H: 69.7904052734375
SENSE daac 24 24-04-2019 00:38:05.668 T: 30.51359939575195 [C]; A:[6, -74, 216]; H: 69.8209228515625
SENSE daac 25 24-04-2019 00:38:06.225 T: 30.51359939575195 [C]; A:[14, -76, 218]; H: 69.8209228515625
SENSE daad 21 24-04-2019 00:38:03.498 T: 31.19999885559082 [C]; A:[-48, 50, 194]; H: 68.6917724609375
SENSE daac 26 24-04-2019 00:38:06.771 T: 30.57599830627441 [C]; A:[8, -80, 210]; H: 69.8209228515625
SENSE daac 27 24-04-2019 00:38:07.356 T: 30.57599830627441 [C]; A:[8, -84, 218]; H: 69.8209228515625
SENSE daad 22 24-04-2019 00:38:07.123 T: 31.26239967346191 [C]; A:[-44, 46, 194]; H: 68.6917724609375
SENSE daaa 51 24-04-2019 00:38:05.198 T: 31.63679885864257 [C]; A:[0, -28, 226]; H: 65.99859619140625
SENSE daac 28 24-04-2019 00:38:07.957 T: 30.51359939575195 [C]; A:[8, -80, 216]; H: 69.8209228515625
SENSE daaa 52 24-04-2019 00:38:08.540 T: 31.63679885864257 [C]; A:[0, -26, 228]; H: 65.99859619140625
SENSE daad 23 24-04-2019 00:38:08.309 T: 31.26239967346191 [C]; A:[-46, 52, 190]; H: 68.6917724609375
SENSE daaa 53 24-04-2019 00:38:09.116 T: 31.63679885864257 [C]; A:[-6, -28, 232]; H: 65.99859619140625
SENSE daac 29 24-04-2019 00:38:08.985 T: 30.57599830627441 [C]; A:[10, -80, 214]; H: 69.8209228515625
SENSE daaa 54 24-04-2019 00:38:09.692 T: 31.63679885864257 [C]; A:[0, -24, 230]; H: 65.99859619140625
SENSE daad 24 24-04-2019 00:38:09.534 T: 31.26239967346191 [C]; A:[-48, 52, 192]; H: 68.6917724609375
SENSE daaa 55 24-04-2019 00:38:10.269 T: 31.63679885864257 [C]; A:[0, -22, 228]; H: 65.99859619140625
SENSE daac 30 24-04-2019 00:38:10.127 T: 30.57599830627441 [C]; A:[10, -80, 212]; H: 69.8514404296875
SENSE daad 25 24-04-2019 00:38:10.719 T: 31.19999885559082 [C]; A:[-42, 46, 190]; H: 68.7222900390625
SENSE daac 31 24-04-2019 00:38:11.164 T: 30.57599830627441 [C]; A:[6, -78, 210]; H: 69.8514404296875
SENSE daaa 56 24-04-2019 00:38:13.297 T: 31.63679885864257 [C]; A:[0, -24, 228]; H: 65.99859619140625
SENSE daaa 57 24-04-2019 00:38:13.822 T: 31.63679885864257 [C]; A:[0, -30, 226]; H: 65.99859619140625
SENSE daaa 58 24-04-2019 00:38:14.287 T: 31.63679885864257 [C]; A:[0, -26, 224]; H: 65.99859619140625
SENSE daab 26 24-04-2019 00:38:14.162 T: 31.57439994812011 [C]; A:[58, -198, 144]; H: 64.99151611328125
SENSE daab 27 24-04-2019 00:38:15.003 T: 31.57439994812011 [C]; A:[56, -198, 152]; H: 64.99151611328125
SENSE daab 28 24-04-2019 00:38:15.535 T: 31.57439994812011 [C]; A:[50, -196, 144]; H: 64.99151611328125
SENSE daac 32 24-04-2019 00:38:15.353 T: 30.57599830627441 [C]; A:[6, -76, 210]; H: 69.8514404296875
SENSE daab 29 24-04-2019 00:38:16.068 T: 31.57439994812011 [C]; A:[54, -198, 144]; H: 64.99151611328125
SENSE daab 30 24-04-2019 00:38:16.640 T: 31.57439994812011 [C]; A:[60, -200, 148]; H: 64.99151611328125
SENSE daac 33 24-04-2019 00:38:16.425 T: 30.57599830627441 [C]; A:[10, -80, 210]; H: 69.8514404296875
SENSE daaa 59 24-04-2019 00:38:17.477 T: 31.63679885864257 [C]; A:[0, -26, 232]; H: 66.021484375
SENSE daad 26 24-04-2019 00:38:11.495 T: 31.26239967346191 [C]; A:[-44, 52, 196]; H: 68.7222900390625
SENSE daaa 60 24-04-2019 00:38:17.929 T: 31.63679885864257 [C]; A:[0, -26, 232]; H: 66.021484375
SENSE daaa 61 24-04-2019 00:38:18.500 T: 31.63679885864257 [C]; A:[0, -28, 230]; H: 66.021484375
SENSE daad 27 24-04-2019 00:38:18.245 T: 31.26239967346191 [C]; A:[-42, 54, 192]; H: 68.6917724609375
SENSE daaa 62 24-04-2019 00:38:18.977 T: 31.63679885864257 [C]; A:[0, -22, 230]; H: 66.021484375
SENSE daaa 63 24-04-2019 00:38:19.591 T: 31.63679885864257 [C]; A:[0, -28, 228]; H: 66.021484375
SENSE daaa 64 24-04-2019 00:38:20.070 T: 31.63679885864257 [C]; A:[0, -26, 230]; H: 66.021484375
SENSE daab 31 24-04-2019 00:38:17.157 T: 31.57439994812011 [C]; A:[52, -200, 138]; H: 64.99151611328125
SENSE daaa 65 24-04-2019 00:38:20.542 T: 31.63679885864257 [C]; A:[0, -26, 228]; H: 66.021484375
SENSE daaa 66 24-04-2019 00:38:21.123 T: 31.63679885864257 [C]; A:[-6, -26, 230]; H: 65.99859619140625
SENSE daab 32 24-04-2019 00:38:20.895 T: 31.51199913024902 [C]; A:[60, -200, 146]; H: 64.99151611328125
SENSE daaa 67 24-04-2019 00:38:21.600 T: 31.63679885864257 [C]; A:[0, -26, 224]; H: 65.99859619140625
SENSE daaa 68 24-04-2019 00:38:22.181 T: 31.63679885864257 [C]; A:[0, -26, 220]; H: 65.99859619140625
SENSE daab 33 24-04-2019 00:38:21.950 T: 31.57439994812011 [C]; A:[50, -196, 144]; H: 64.99151611328125
SENSE daad 28 24-04-2019 00:38:19.301 T: 31.26239967346191 [C]; A:[-44, 50, 192]; H: 68.6917724609375
SENSE daaa 69 24-04-2019 00:38:22.719 T: 31.63679885864257 [C]; A:[0, -30, 224]; H: 65.99859619140625
SENSE daaa 70 24-04-2019 00:38:23.468 T: 31.69919967651367 [C]; A:[0, -28, 228]; H: 65.99859619140625
SENSE daad 29 24-04-2019 00:38:23.166 T: 31.26239967346191 [C]; A:[-44, 52, 192]; H: 68.63836669921875
SENSE daaa 71 24-04-2019 00:38:23.935 T: 31.63679885864257 [C]; A:[0, -26, 230]; H: 65.99859619140625
SENSE daaa 72 24-04-2019 00:38:24.511 T: 31.63679885864257 [C]; A:[0, -22, 224]; H: 65.96807861328125
SENSE daad 30 24-04-2019 00:38:24.261 T: 31.26239967346191 [C]; A:[-42, 50, 192]; H: 68.63836669921875
SENSE daaa 73 24-04-2019 00:38:24.973 T: 31.69919967651367 [C]; A:[4, -30, 228]; H: 65.96807861328125
SENSE daaa 74 24-04-2019 00:38:25.559 T: 31.69919967651367 [C]; A:[0, -24, 234]; H: 65.96807861328125
SENSE daaa 75 24-04-2019 00:38:26.036 T: 31.63679885864257 [C]; A:[-4, -26, 228]; H: 65.96807861328125
SENSE daab 34 24-04-2019 00:38:25.936 T: 31.57439994812011 [C]; A:[60, -198, 146]; H: 64.96099853515625
SENSE daac 34 24-04-2019 00:38:19.959 T: 30.57599830627441 [C]; A:[6, -80, 254]; H: 69.8209228515625
SENSE daad 31 24-04-2019 00:38:25.397 T: 31.26239967346191 [C]; A:[-42, 48, 192]; H: 68.60784912109375
SENSE daaa 76 24-04-2019 00:38:29.064 T: 31.63679885864257 [C]; A:[0, -24, 222]; H: 65.96807861328125
SENSE daad 32 24-04-2019 00:38:28.783 T: 31.26239967346191 [C]; A:[-46, 46, 190]; H: 68.63836669921875
SENSE daaa 77 24-04-2019 00:38:29.528 T: 31.63679885864257 [C]; A:[0, -26, 232]; H: 65.96807861328125
SENSE daab 35 24-04-2019 00:38:26.763 T: 31.57439994812011 [C]; A:[56, -196, 142]; H: 64.96099853515625
SENSE daaa 78 24-04-2019 00:38:30.055 T: 31.63679885864257 [C]; A:[0, -26, 232]; H: 65.96807861328125
SENSE daaa 79 24-04-2019 00:38:30.631 T: 31.63679885864257 [C]; A:[0, -22, 238]; H: 65.96807861328125
SENSE daab 36 24-04-2019 00:38:30.406 T: 31.57439994812011 [C]; A:[54, -196, 146]; H: 64.93048095703125
SENSE daaa 80 24-04-2019 00:38:31.108 T: 31.63679885864257 [C]; A:[0, -26, 232]; H: 65.96807861328125
SENSE daab 37 24-04-2019 00:38:31.431 T: 31.57439994812011 [C]; A:[54, -200, 144]; H: 64.93048095703125
SENSE daaa 81 24-04-2019 00:38:31.760 T: 31.63679885864257 [C]; A:[2, -26, 224]; H: 65.96807861328125
SENSE daaa 82 24-04-2019 00:38:32.231 T: 31.63679885864257 [C]; A:[0, -24, 234]; H: 65.96807861328125
SENSE daaa 83 24-04-2019 00:38:32.702 T: 31.69919967651367 [C]; A:[0, -20, 208]; H: 65.96807861328125
SENSE daaa 84 24-04-2019 00:38:33.169 T: 31.63679885864257 [C]; A:[0, -24, 228]; H: 65.96807861328125
SENSE daac 35 24-04-2019 00:38:33.043 T: 30.57599830627441 [C]; A:[6, -78, 210]; H: 69.8819580078125
SENSE daaa 85 24-04-2019 00:38:33.647 T: 31.63679885864257 [C]; A:[0, -20, 234]; H: 65.96807861328125
SENSE daaa 86 24-04-2019 00:38:34.223 T: 31.63679885864257 [C]; A:[0, -26, 230]; H: 65.96807861328125
SENSE daac 36 24-04-2019 00:38:34.001 T: 30.57599830627441 [C]; A:[4, -78, 216]; H: 69.8514404296875
SENSE daac 37 24-04-2019 00:38:35.020 T: 30.57599830627441 [C]; A:[14, -78, 218]; H: 69.8514404296875
SENSE daac 38 24-04-2019 00:38:35.589 T: 30.57599830627441 [C]; A:[8, -78, 212]; H: 69.8514404296875
SENSE daad 33 24-04-2019 00:38:35.353 T: 31.26239967346191 [C]; A:[-52, 52, 192]; H: 68.60784912109375
SENSE daac 39 24-04-2019 00:38:36.135 T: 30.57599830627441 [C]; A:[6, -80, 224]; H: 69.8514404296875
SENSE daac 40 24-04-2019 00:38:36.691 T: 30.57599830627441 [C]; A:[4, -82, 214]; H: 69.8514404296875
SENSE daad 34 24-04-2019 00:38:36.489 T: 31.26239967346191 [C]; A:[-44, 50, 196]; H: 68.57733154296875
SENSE daab 38 24-04-2019 00:38:37.721 T: 31.57439994812011 [C]; A:[52, -196, 146]; H: 64.96099853515625
SENSE daad 35 24-04-2019 00:38:37.624 T: 31.26239967346191 [C]; A:[-40, 54, 194]; H: 68.57733154296875
SENSE daab 39 24-04-2019 00:38:38.248 T: 31.57439994812011 [C]; A:[56, -194, 140]; H: 64.96099853515625
SENSE daab 40 24-04-2019 00:38:38.831 T: 31.57439994812011 [C]; A:[60, -198, 144]; H: 64.96099853515625
SENSE daad 36 24-04-2019 00:38:38.579 T: 31.32479858398437 [C]; A:[-44, 52, 190]; H: 68.57733154296875
SENSE daab 41 24-04-2019 00:38:39.373 T: 31.57439994812011 [C]; A:[60, -196, 148]; H: 64.96099853515625
SENSE daab 42 24-04-2019 00:38:39.945 T: 31.57439994812011 [C]; A:[50, -194, 140]; H: 64.96099853515625
SENSE daac 41 24-04-2019 00:38:37.262 T: 30.57599830627441 [C]; A:[4, -76, 220]; H: 69.8209228515625
SENSE daaa 87 24-04-2019 00:38:40.630 T: 31.63679885864257 [C]; A:[0, -26, 230]; H: 65.93756103515625
SENSE daab 43 24-04-2019 00:38:40.557 T: 31.57439994812011 [C]; A:[50, -194, 150]; H: 64.96099853515625
SENSE daaa 88 24-04-2019 00:38:41.108 T: 31.63679885864257 [C]; A:[0, -32, 228]; H: 65.93756103515625
SENSE daaa 89 24-04-2019 00:38:41.684 T: 31.63679885864257 [C]; A:[0, -30, 238]; H: 65.93756103515625
SENSE daab 44 24-04-2019 00:38:41.463 T: 31.57439994812011 [C]; A:[54, -198, 144]; H: 64.96099853515625
SENSE daaa 90 24-04-2019 00:38:42.156 T: 31.69919967651367 [C]; A:[-6, -20, 230]; H: 65.93756103515625
SENSE daaa 91 24-04-2019 00:38:42.722 T: 31.69919967651367 [C]; A:[0, -22, 230]; H: 65.93756103515625
SENSE daab 45 24-04-2019 00:38:42.508 T: 31.57439994812011 [C]; A:[56, -198, 136]; H: 64.96099853515625
SENSE daaa 92 24-04-2019 00:38:43.204 T: 31.69919967651367 [C]; A:[-8, -22, 226]; H: 65.93756103515625
SENSE daaa 93 24-04-2019 00:38:43.776 T: 31.63679885864257 [C]; A:[-6, -26, 232]; H: 65.90704345703125
SENSE daaa 94 24-04-2019 00:38:44.242 T: 31.63679885864257 [C]; A:[0, -28, 240]; H: 65.90704345703125
SENSE daac 42 24-04-2019 00:38:44.120 T: 30.57599830627441 [C]; A:[6, -74, 212]; H: 69.7598876953125
SENSE daaa 95 24-04-2019 00:38:44.714 T: 31.63679885864257 [C]; A:[0, -32, 226]; H: 65.90704345703125
SENSE daaa 96 24-04-2019 00:38:45.290 T: 31.63679885864257 [C]; A:[0, -22, 230]; H: 65.90704345703125
SENSE daac 43 24-04-2019 00:38:45.054 T: 30.57599830627441 [C]; A:[8, -74, 208]; H: 69.7598876953125
SENSE daaa 97 24-04-2019 00:38:45.752 T: 31.63679885864257 [C]; A:[0, -24, 218]; H: 65.90704345703125
SENSE daad 37 24-04-2019 00:38:39.704 T: 31.19999885559082 [C]; A:[-42, 48, 192]; H: 68.57733154296875
SENSE daaa 98 24-04-2019 00:38:46.334 T: 31.69919967651367 [C]; A:[-4, -26, 232]; H: 65.90704345703125
