SENSE daaa 1 24-04-2019 09:20:30.822 T: 32.1983985900879 [C]; A:[20, -36, 248]; H: 58.239501953125
SENSE daad 6 24-04-2019 09:20:32.476 T: 31.32479858398437 [C]; A:[0, 64, 228]; H: 62.2220458984375
SENSE daaa 7 24-04-2019 09:20:32.814 T: 32.1983985900879 [C]; A:[22, -40, 246]; H: 58.14794921875
SENSE daab 7 24-04-2019 09:20:32.812 T: 32.94720077514648 [C]; A:[-22, -18, 226]; H: 58.99481201171875
SENSE daac 7 24-04-2019 09:20:32.808 T: 29.39039993286132 [C]; A:[236, 82, 24]; H: 64.19805908203125
SENSE daad 7 24-04-2019 09:20:32.805 T: 31.32479858398437 [C]; A:[0, 60, 226]; H: 62.2220458984375
SENSE daaa 8 24-04-2019 09:20:33.148 T: 32.1983985900879 [C]; A:[22, -48, 244]; H: 58.14794921875
SENSE daab 8 24-04-2019 09:20:33.148 T: 32.94720077514648 [C]; A:[-18, -18, 226]; H: 58.99481201171875
SENSE daac 8 24-04-2019 09:20:33.144 T: 29.39039993286132 [C]; A:[226, 82, 20]; H: 64.19805908203125
SENSE daad 8 24-04-2019 09:20:33.142 T: 31.32479858398437 [C]; A:[0, 56, 230]; H: 62.2525634765625
SENSE daaa 9 24-04-2019 09:20:33.480 T: 32.26079940795898 [C]; A:[28, -48, 244]; H: 58.14794921875
SENSE daab 9 24-04-2019 09:20:33.480 T: 32.8847999572754 [C]; A:[-20, -22, 232]; H: 58.99481201171875
SENSE daac 9 24-04-2019 09:20:33.478 T: 29.39039993286132 [C]; A:[254, 78, 30]; H: 64.19805908203125
SENSE daad 9 24-04-2019 09:20:33.477 T: 31.32479858398437 [C]; A:[2, 70, 224]; H: 62.2830810546875
SENSE daaa 10 24-04-2019 09:20:33.816 T: 32.1983985900879 [C]; A:[22, -48, 242]; H: 58.14794921875
SENSE daab 10 24-04-2019 09:20:33.815 T: 32.8847999572754 [C]; A:[-20, -20, 224]; H: 58.99481201171875
SENSE daac 10 24-04-2019 09:20:33.813 T: 29.32799911499023 [C]; A:[230, 84, 24]; H: 64.19805908203125
SENSE daad 10 24-04-2019 09:20:33.810 T: 31.26239967346191 [C]; A:[0, 64, 230]; H: 62.3441162109375
SENSE daaa 11 24-04-2019 09:20:34.149 T: 32.26079940795898 [C]; A:[18, -42, 244]; H: 58.14794921875
SENSE daab 11 24-04-2019 09:20:34.149 T: 32.8847999572754 [C]; A:[-20, -22, 228]; H: 58.99481201171875
SENSE daac 11 24-04-2019 09:20:34.147 T: 29.32799911499023 [C]; A:[248, 90, 20]; H: 64.19805908203125
SENSE daad 11 24-04-2019 09:20:34.144 T: 31.26239967346191 [C]; A:[-8, 56, 232]; H: 62.3746337890625
SENSE daaa 12 24-04-2019 09:20:34.481 T: 32.26079940795898 [C]; A:[18, -40, 242]; H: 58.14794921875
SENSE daab 12 24-04-2019 09:20:34.481 T: 32.8847999572754 [C]; A:[-18, -18, 228]; H: 58.99481201171875
SENSE daac 12 24-04-2019 09:20:34.479 T: 29.32799911499023 [C]; A:[242, 82, 24]; H: 64.22857666015625
SENSE daad 12 24-04-2019 09:20:34.478 T: 31.19999885559082 [C]; A:[6, 68, 208]; H: 62.4051513671875
SENSE daaa 13 24-04-2019 09:20:34.816 T: 32.26079940795898 [C]; A:[20, -44, 244]; H: 58.178466796875
SENSE daab 13 24-04-2019 09:20:34.816 T: 32.8847999572754 [C]; A:[-22, -22, 232]; H: 58.99481201171875
SENSE daac 13 24-04-2019 09:20:34.813 T: 29.39039993286132 [C]; A:[236, 80, 26]; H: 64.22857666015625
SENSE daad 13 24-04-2019 09:20:34.812 T: 31.26239967346191 [C]; A:[0, 58, 228]; H: 62.4356689453125
SENSE daaa 14 24-04-2019 09:20:35.154 T: 32.26079940795898 [C]; A:[26, -48, 246]; H: 58.178466796875
SENSE daab 14 24-04-2019 09:20:35.155 T: 32.8847999572754 [C]; A:[-16, -20, 224]; H: 58.99481201171875
SENSE daac 14 24-04-2019 09:20:35.159 T: 29.32799911499023 [C]; A:[242, 76, 16]; H: 64.25909423828125
SENSE daad 14 24-04-2019 09:20:35.151 T: 31.26239967346191 [C]; A:[-6, 56, 232]; H: 62.4356689453125
SENSE daaa 15 24-04-2019 09:20:35.489 T: 32.26079940795898 [C]; A:[28, -48, 240]; H: 58.208984375
SENSE daab 15 24-04-2019 09:20:35.489 T: 32.8847999572754 [C]; A:[-18, -26, 228]; H: 58.9566650390625
SENSE daac 15 24-04-2019 09:20:35.487 T: 29.32799911499023 [C]; A:[238, 82, 18]; H: 64.25909423828125
SENSE daad 15 24-04-2019 09:20:35.486 T: 31.19999885559082 [C]; A:[-4, 64, 230]; H: 62.4967041015625
SENSE daaa 16 24-04-2019 09:20:35.822 T: 32.26079940795898 [C]; A:[20, -46, 242]; H: 58.208984375
SENSE daab 16 24-04-2019 09:20:35.821 T: 32.8847999572754 [C]; A:[-22, -20, 230]; H: 58.9566650390625
SENSE daac 16 24-04-2019 09:20:35.819 T: 29.32799911499023 [C]; A:[234, 78, 24]; H: 64.28961181640625
SENSE daad 16 24-04-2019 09:20:35.816 T: 31.19999885559082 [C]; A:[0, 66, 228]; H: 62.51959228515625
SENSE daaa 17 24-04-2019 09:20:36.153 T: 32.26079940795898 [C]; A:[14, -42, 246]; H: 58.208984375
SENSE daab 17 24-04-2019 09:20:36.153 T: 32.8847999572754 [C]; A:[-18, -22, 230]; H: 58.9566650390625
SENSE daac 17 24-04-2019 09:20:36.150 T: 29.32799911499023 [C]; A:[240, 84, 24]; H: 64.28961181640625
SENSE daad 17 24-04-2019 09:20:36.149 T: 31.13759994506835 [C]; A:[0, 64, 232]; H: 62.55010986328125
SENSE daaa 18 24-04-2019 09:20:36.486 T: 32.26079940795898 [C]; A:[20, -46, 240]; H: 58.208984375
SENSE daab 18 24-04-2019 09:20:36.486 T: 32.8847999572754 [C]; A:[-18, -20, 232]; H: 58.9566650390625
SENSE daac 18 24-04-2019 09:20:36.485 T: 29.32799911499023 [C]; A:[238, 80, 30]; H: 64.28961181640625
SENSE daad 18 24-04-2019 09:20:36.484 T: 31.19999885559082 [C]; A:[0, 62, 228]; H: 62.58062744140625
SENSE daaa 19 24-04-2019 09:20:36.823 T: 32.32320022583007 [C]; A:[18, -38, 242]; H: 58.208984375
SENSE daab 19 24-04-2019 09:20:36.824 T: 32.8847999572754 [C]; A:[-16, -24, 228]; H: 58.9566650390625
SENSE daac 19 24-04-2019 09:20:36.821 T: 29.32799911499023 [C]; A:[238, 76, 22]; H: 64.28961181640625
SENSE daad 19 24-04-2019 09:20:36.818 T: 31.19999885559082 [C]; A:[0, 64, 234]; H: 62.61114501953125
SENSE daaa 20 24-04-2019 09:20:37.155 T: 32.26079940795898 [C]; A:[18, -42, 246]; H: 58.208984375
SENSE daab 20 24-04-2019 09:20:37.153 T: 32.94720077514648 [C]; A:[-18, -22, 230]; H: 58.9566650390625
SENSE daac 20 24-04-2019 09:20:37.150 T: 29.26559829711914 [C]; A:[240, 82, 24]; H: 64.28961181640625
SENSE daad 20 24-04-2019 09:20:37.149 T: 31.13759994506835 [C]; A:[0, 60, 224]; H: 62.61114501953125
SENSE daaa 21 24-04-2019 09:20:37.488 T: 32.32320022583007 [C]; A:[20, -44, 240]; H: 58.208984375
SENSE daab 21 24-04-2019 09:20:37.489 T: 32.8847999572754 [C]; A:[-24, -20, 230]; H: 58.9566650390625
SENSE daac 21 24-04-2019 09:20:37.493 T: 29.26559829711914 [C]; A:[242, 76, 24]; H: 64.32012939453125
SENSE daad 21 24-04-2019 09:20:37.486 T: 31.19999885559082 [C]; A:[0, 62, 222]; H: 62.64166259765625
SENSE daaa 22 24-04-2019 09:20:37.827 T: 32.32320022583007 [C]; A:[18, -42, 244]; H: 58.208984375
SENSE daab 22 24-04-2019 09:20:37.826 T: 32.8847999572754 [C]; A:[-16, -20, 226]; H: 59.02532958984375
SENSE daac 22 24-04-2019 09:20:37.823 T: 29.26559829711914 [C]; A:[236, 84, 16]; H: 64.32012939453125
SENSE daad 22 24-04-2019 09:20:37.821 T: 31.13759994506835 [C]; A:[0, 62, 234]; H: 62.67218017578125
SENSE daaa 23 24-04-2019 09:20:38.159 T: 32.32320022583007 [C]; A:[24, -48, 248]; H: 58.178466796875
SENSE daab 23 24-04-2019 09:20:38.158 T: 32.8847999572754 [C]; A:[-20, -22, 226]; H: 59.02532958984375
SENSE daac 23 24-04-2019 09:20:38.154 T: 29.26559829711914 [C]; A:[240, 82, 24]; H: 64.32012939453125
SENSE daad 23 24-04-2019 09:20:38.152 T: 31.13759994506835 [C]; A:[-4, 64, 232]; H: 62.67218017578125
SENSE daaa 24 24-04-2019 09:20:38.489 T: 32.32320022583007 [C]; A:[24, -44, 244]; H: 58.178466796875
SENSE daab 24 24-04-2019 09:20:38.489 T: 32.94720077514648 [C]; A:[-24, -24, 234]; H: 59.02532958984375
SENSE daac 24 24-04-2019 09:20:38.486 T: 29.26559829711914 [C]; A:[236, 82, 28]; H: 64.32012939453125
SENSE daad 24 24-04-2019 09:20:38.486 T: 31.13759994506835 [C]; A:[0, 62, 230]; H: 62.70269775390625
SENSE daaa 25 24-04-2019 09:20:38.825 T: 32.32320022583007 [C]; A:[20, -42, 244]; H: 58.178466796875
SENSE daab 25 24-04-2019 09:20:38.825 T: 32.94720077514648 [C]; A:[-18, -20, 228]; H: 59.02532958984375
SENSE daac 25 24-04-2019 09:20:38.822 T: 29.26559829711914 [C]; A:[236, 80, 24]; H: 64.32012939453125
SENSE daad 25 24-04-2019 09:20:38.820 T: 31.13759994506835 [C]; A:[0, 56, 226]; H: 62.73321533203125
SENSE daaa 26 24-04-2019 09:20:39.159 T: 32.32320022583007 [C]; A:[22, -42, 246]; H: 58.178466796875
SENSE daab 26 24-04-2019 09:20:39.158 T: 32.8847999572754 [C]; A:[-22, -20, 228]; H: 59.02532958984375
SENSE daac 26 24-04-2019 09:20:39.155 T: 29.26559829711914 [C]; A:[240, 86, 26]; H: 64.32012939453125
SENSE daad 26 24-04-2019 09:20:39.152 T: 31.13759994506835 [C]; A:[4, 58, 232]; H: 62.76373291015625
SENSE daaa 27 24-04-2019 09:20:39.489 T: 32.32320022583007 [C]; A:[28, -50, 244]; H: 58.208984375
SENSE daab 27 24-04-2019 09:20:39.489 T: 32.94720077514648 [C]; A:[-20, -18, 228]; H: 59.02532958984375
SENSE daac 27 24-04-2019 09:20:39.486 T: 29.26559829711914 [C]; A:[238, 86, 24]; H: 64.35064697265625
SENSE daad 27 24-04-2019 09:20:39.484 T: 31.13759994506835 [C]; A:[0, 64, 230]; H: 62.79425048828125
SENSE daaa 28 24-04-2019 09:20:39.821 T: 32.32320022583007 [C]; A:[22, -42, 246]; H: 58.208984375
SENSE daab 28 24-04-2019 09:20:39.820 T: 32.94720077514648 [C]; A:[-20, -24, 224]; H: 59.02532958984375
SENSE daac 28 24-04-2019 09:20:39.824 T: 29.26559829711914 [C]; A:[236, 84, 24]; H: 64.35064697265625
SENSE daad 28 24-04-2019 09:20:39.817 T: 31.07519912719726 [C]; A:[0, 64, 226]; H: 62.817138671875
SENSE daaa 29 24-04-2019 09:20:40.154 T: 32.3855972290039 [C]; A:[22, -42, 242]; H: 58.239501953125
SENSE daab 29 24-04-2019 09:20:40.154 T: 32.94720077514648 [C]; A:[-22, -18, 224]; H: 59.02532958984375
SENSE daac 29 24-04-2019 09:20:40.151 T: 29.26559829711914 [C]; A:[236, 82, 24]; H: 64.35064697265625
SENSE daad 29 24-04-2019 09:20:40.149 T: 31.07519912719726 [C]; A:[0, 60, 230]; H: 62.84765625
SENSE daaa 30 24-04-2019 09:20:40.485 T: 32.3855972290039 [C]; A:[22, -42, 242]; H: 58.27001953125
SENSE daab 30 24-04-2019 09:20:40.486 T: 32.94720077514648 [C]; A:[-20, -24, 230]; H: 59.02532958984375
SENSE daac 30 24-04-2019 09:20:40.485 T: 29.26559829711914 [C]; A:[238, 78, 26]; H: 64.38116455078125
SENSE daad 30 24-04-2019 09:20:40.484 T: 31.01279830932617 [C]; A:[-4, 62, 230]; H: 62.878173828125
SENSE daaa 31 24-04-2019 09:20:40.822 T: 32.32320022583007 [C]; A:[22, -42, 240]; H: 58.27001953125
SENSE daab 31 24-04-2019 09:20:40.822 T: 32.8847999572754 [C]; A:[-16, -18, 226]; H: 59.02532958984375
SENSE daac 31 24-04-2019 09:20:40.820 T: 29.26559829711914 [C]; A:[240, 84, 18]; H: 64.38116455078125
SENSE daad 31 24-04-2019 09:20:40.819 T: 31.07519912719726 [C]; A:[0, 60, 224]; H: 62.90869140625
SENSE daaa 32 24-04-2019 09:20:41.164 T: 32.3855972290039 [C]; A:[22, -46, 246]; H: 58.300537109375
SENSE daab 32 24-04-2019 09:20:41.164 T: 32.94720077514648 [C]; A:[-20, -24, 224]; H: 58.9871826171875
SENSE daac 32 24-04-2019 09:20:41.162 T: 29.26559829711914 [C]; A:[236, 88, 22]; H: 64.404052734375
SENSE daad 32 24-04-2019 09:20:41.161 T: 31.01279830932617 [C]; A:[-6, 60, 228]; H: 62.9697265625
SENSE daaa 33 24-04-2019 09:20:41.497 T: 32.3855972290039 [C]; A:[22, -42, 248]; H: 58.300537109375
SENSE daab 33 24-04-2019 09:20:41.496 T: 32.94720077514648 [C]; A:[-16, -22, 226]; H: 58.9871826171875
SENSE daac 33 24-04-2019 09:20:41.494 T: 29.26559829711914 [C]; A:[238, 82, 30]; H: 64.4345703125
SENSE daad 33 24-04-2019 09:20:41.492 T: 31.01279830932617 [C]; A:[0, 64, 236]; H: 63.000244140625
SENSE daaa 34 24-04-2019 09:20:41.832 T: 32.32320022583007 [C]; A:[26, -46, 242]; H: 58.32342529296875
SENSE daab 34 24-04-2019 09:20:41.831 T: 32.8847999572754 [C]; A:[-18, -20, 226]; H: 58.9871826171875
SENSE daac 34 24-04-2019 09:20:41.829 T: 29.26559829711914 [C]; A:[238, 84, 26]; H: 64.4345703125
SENSE daad 34 24-04-2019 09:20:41.826 T: 31.01279830932617 [C]; A:[0, 64, 228]; H: 63.061279296875
SENSE daaa 35 24-04-2019 09:20:42.165 T: 32.3855972290039 [C]; A:[24, -46, 246]; H: 58.32342529296875
SENSE daab 35 24-04-2019 09:20:42.166 T: 32.8847999572754 [C]; A:[-18, -22, 224]; H: 58.9871826171875
SENSE daac 35 24-04-2019 09:20:42.170 T: 29.26559829711914 [C]; A:[230, 82, 28]; H: 64.465087890625
SENSE daad 35 24-04-2019 09:20:42.162 T: 31.01279830932617 [C]; A:[-4, 62, 228]; H: 63.061279296875
SENSE daaa 36 24-04-2019 09:20:42.499 T: 32.32320022583007 [C]; A:[22, -44, 242]; H: 58.32342529296875
SENSE daab 36 24-04-2019 09:20:42.496 T: 32.8847999572754 [C]; A:[-22, -16, 226]; H: 58.9871826171875
SENSE daac 36 24-04-2019 09:20:42.493 T: 29.20319938659667 [C]; A:[240, 80, 26]; H: 64.465087890625
SENSE daad 36 24-04-2019 09:20:42.490 T: 30.95039939880371 [C]; A:[0, 58, 236]; H: 63.08416748046875
SENSE daaa 37 24-04-2019 09:20:42.827 T: 32.32320022583007 [C]; A:[24, -44, 246]; H: 58.35394287109375
SENSE daab 37 24-04-2019 09:20:42.825 T: 32.8847999572754 [C]; A:[-20, -20, 228]; H: 59.0177001953125
SENSE daac 37 24-04-2019 09:20:42.823 T: 29.26559829711914 [C]; A:[244, 84, 20]; H: 64.49560546875
SENSE daad 37 24-04-2019 09:20:42.820 T: 30.95039939880371 [C]; A:[0, 62, 230]; H: 63.11468505859375
SENSE daaa 38 24-04-2019 09:20:43.162 T: 32.3855972290039 [C]; A:[24, -46, 238]; H: 58.35394287109375
SENSE daab 38 24-04-2019 09:20:43.162 T: 32.8847999572754 [C]; A:[-22, -22, 224]; H: 59.0177001953125
SENSE daac 38 24-04-2019 09:20:43.160 T: 29.20319938659667 [C]; A:[236, 82, 24]; H: 64.49560546875
SENSE daad 38 24-04-2019 09:20:43.157 T: 31.01279830932617 [C]; A:[0, 62, 230]; H: 63.14520263671875
SENSE daaa 39 24-04-2019 09:20:43.493 T: 32.3855972290039 [C]; A:[20, -42, 240]; H: 58.35394287109375
SENSE daab 39 24-04-2019 09:20:43.492 T: 32.8847999572754 [C]; A:[-20, -22, 224]; H: 59.04058837890625
SENSE daac 39 24-04-2019 09:20:43.489 T: 29.20319938659667 [C]; A:[238, 82, 24]; H: 64.526123046875
SENSE daad 39 24-04-2019 09:20:43.488 T: 30.95039939880371 [C]; A:[0, 64, 230]; H: 63.17572021484375
SENSE daaa 40 24-04-2019 09:20:43.826 T: 32.3855972290039 [C]; A:[22, -46, 242]; H: 58.35394287109375
SENSE daab 40 24-04-2019 09:20:43.826 T: 32.94720077514648 [C]; A:[-18, -20, 220]; H: 59.04058837890625
SENSE daac 40 24-04-2019 09:20:43.824 T: 29.20319938659667 [C]; A:[240, 80, 30]; H: 64.526123046875
SENSE daad 40 24-04-2019 09:20:43.823 T: 30.95039939880371 [C]; A:[18, 62, 212]; H: 63.20623779296875
SENSE daaa 41 24-04-2019 09:20:44.163 T: 32.3855972290039 [C]; A:[22, -40, 242]; H: 58.35394287109375
SENSE daab 41 24-04-2019 09:20:44.163 T: 32.8847999572754 [C]; A:[-20, -20, 230]; H: 59.07110595703125
SENSE daac 41 24-04-2019 09:20:44.159 T: 29.20319938659667 [C]; A:[232, 80, 28]; H: 64.556640625
SENSE daad 41 24-04-2019 09:20:44.157 T: 30.95039939880371 [C]; A:[-14, 46, 242]; H: 63.23675537109375
SENSE daaa 42 24-04-2019 09:20:44.494 T: 32.3855972290039 [C]; A:[20, -46, 244]; H: 58.35394287109375
SENSE daab 42 24-04-2019 09:20:44.494 T: 32.8847999572754 [C]; A:[-18, -20, 232]; H: 59.07110595703125
SENSE daac 42 24-04-2019 09:20:44.496 T: 29.20319938659667 [C]; A:[254, 80, 34]; H: 64.587158203125
SENSE daad 42 24-04-2019 09:20:44.488 T: 30.88799858093261 [C]; A:[6, 62, 220]; H: 63.23675537109375
SENSE daaa 43 24-04-2019 09:20:44.828 T: 32.3855972290039 [C]; A:[22, -46, 242]; H: 58.35394287109375
SENSE daab 43 24-04-2019 09:20:44.826 T: 32.94720077514648 [C]; A:[-16, -20, 226]; H: 59.10162353515625
SENSE daac 43 24-04-2019 09:20:44.824 T: 29.20319938659667 [C]; A:[238, 80, 24]; H: 64.61004638671875
SENSE daad 43 24-04-2019 09:20:44.823 T: 30.95039939880371 [C]; A:[2, 56, 230]; H: 63.26727294921875
SENSE daaa 44 24-04-2019 09:20:45.161 T: 32.3855972290039 [C]; A:[24, -40, 246]; H: 58.32342529296875
SENSE daab 44 24-04-2019 09:20:45.161 T: 32.94720077514648 [C]; A:[-20, -24, 224]; H: 59.10162353515625
SENSE daac 44 24-04-2019 09:20:45.158 T: 29.20319938659667 [C]; A:[236, 78, 28]; H: 64.61004638671875
SENSE daad 44 24-04-2019 09:20:45.157 T: 30.95039939880371 [C]; A:[0, 58, 226]; H: 63.2901611328125
SENSE daaa 45 24-04-2019 09:20:45.495 T: 32.3855972290039 [C]; A:[26, -46, 246]; H: 58.32342529296875
SENSE daab 45 24-04-2019 09:20:45.495 T: 32.94720077514648 [C]; A:[-14, -22, 230]; H: 59.13214111328125
SENSE daac 45 24-04-2019 09:20:45.492 T: 29.20319938659667 [C]; A:[236, 84, 24]; H: 64.61004638671875
SENSE daad 45 24-04-2019 09:20:45.490 T: 30.88799858093261 [C]; A:[0, 60, 226]; H: 63.2901611328125
SENSE daaa 46 24-04-2019 09:20:45.829 T: 32.3855972290039 [C]; A:[22, -44, 244]; H: 58.27001953125
SENSE daab 46 24-04-2019 09:20:45.829 T: 32.94720077514648 [C]; A:[-20, -22, 224]; H: 59.13214111328125
SENSE daac 46 24-04-2019 09:20:45.825 T: 29.14079856872558 [C]; A:[236, 82, 22]; H: 64.61004638671875
SENSE daad 46 24-04-2019 09:20:45.823 T: 30.88799858093261 [C]; A:[0, 62, 222]; H: 63.3206787109375
SENSE daaa 47 24-04-2019 09:20:46.161 T: 32.447998046875 [C]; A:[22, -44, 246]; H: 58.239501953125
SENSE daab 47 24-04-2019 09:20:46.161 T: 32.94720077514648 [C]; A:[-20, -18, 224]; H: 59.13214111328125
SENSE daac 47 24-04-2019 09:20:46.159 T: 29.20319938659667 [C]; A:[238, 80, 24]; H: 64.61004638671875
SENSE daad 47 24-04-2019 09:20:46.156 T: 30.82559967041015 [C]; A:[0, 58, 230]; H: 63.3206787109375
SENSE daaa 48 24-04-2019 09:20:46.493 T: 32.447998046875 [C]; A:[20, -44, 250]; H: 58.208984375
SENSE daab 48 24-04-2019 09:20:46.493 T: 32.94720077514648 [C]; A:[-18, -18, 228]; H: 59.13214111328125
SENSE daac 48 24-04-2019 09:20:46.491 T: 29.20319938659667 [C]; A:[236, 86, 20]; H: 64.61004638671875
SENSE daad 48 24-04-2019 09:20:46.489 T: 30.82559967041015 [C]; A:[0, 60, 230]; H: 63.3511962890625
SENSE daaa 49 24-04-2019 09:20:46.828 T: 32.3855972290039 [C]; A:[24, -46, 242]; H: 58.208984375
SENSE daab 49 24-04-2019 09:20:46.827 T: 32.94720077514648 [C]; A:[-18, -26, 232]; H: 59.13214111328125
SENSE daac 49 24-04-2019 09:20:46.830 T: 29.14079856872558 [C]; A:[234, 80, 24]; H: 64.61004638671875
SENSE daad 49 24-04-2019 09:20:46.823 T: 30.76319885253906 [C]; A:[0, 60, 226]; H: 63.3817138671875
SENSE daaa 50 24-04-2019 09:20:47.162 T: 32.447998046875 [C]; A:[26, -48, 242]; H: 58.208984375
SENSE daab 50 24-04-2019 09:20:47.161 T: 32.94720077514648 [C]; A:[-16, -22, 226]; H: 59.1702880859375
SENSE daac 50 24-04-2019 09:20:47.159 T: 29.14079856872558 [C]; A:[242, 78, 24]; H: 64.61004638671875
SENSE daad 50 24-04-2019 09:20:47.159 T: 30.82559967041015 [C]; A:[2, 62, 230]; H: 63.4122314453125
SENSE daaa 51 24-04-2019 09:20:47.497 T: 32.3855972290039 [C]; A:[18, -42, 244]; H: 58.208984375
SENSE daab 51 24-04-2019 09:20:47.497 T: 32.94720077514648 [C]; A:[-20, -18, 226]; H: 59.13214111328125
SENSE daac 51 24-04-2019 09:20:47.494 T: 29.14079856872558 [C]; A:[232, 82, 26]; H: 64.61004638671875
SENSE daad 51 24-04-2019 09:20:47.492 T: 30.76319885253906 [C]; A:[2, 60, 226]; H: 63.4122314453125
SENSE daaa 52 24-04-2019 09:20:47.831 T: 32.447998046875 [C]; A:[24, -42, 246]; H: 58.208984375
SENSE daab 52 24-04-2019 09:20:47.833 T: 32.94720077514648 [C]; A:[-18, -22, 224]; H: 59.13214111328125
SENSE daac 52 24-04-2019 09:20:47.832 T: 29.14079856872558 [C]; A:[240, 78, 24]; H: 64.61004638671875
SENSE daad 52 24-04-2019 09:20:47.830 T: 30.76319885253906 [C]; A:[0, 64, 230]; H: 63.4122314453125
SENSE daaa 53 24-04-2019 09:20:48.073 T: 32.3855972290039 [C]; A:[20, -44, 250]; H: 58.239501953125
SENSE daab 53 24-04-2019 09:20:48.166 T: 32.94720077514648 [C]; A:[-18, -20, 204]; H: 59.1702880859375
SENSE daac 53 24-04-2019 09:20:48.164 T: 29.14079856872558 [C]; A:[236, 84, 24]; H: 64.61004638671875
SENSE daaa 54 24-04-2019 09:20:48.317 T: 32.3855972290039 [C]; A:[18, -48, 242]; H: 58.27001953125
SENSE daad 53 24-04-2019 09:20:48.163 T: 30.76319885253906 [C]; A:[2, 56, 234]; H: 63.4427490234375
SENSE daab 54 24-04-2019 09:20:48.501 T: 32.94720077514648 [C]; A:[-20, -22, 222]; H: 59.13214111328125
SENSE daac 54 24-04-2019 09:20:48.498 T: 29.07839965820312 [C]; A:[238, 78, 24]; H: 64.61004638671875
SENSE daad 54 24-04-2019 09:20:48.495 T: 30.7007999420166 [C]; A:[0, 60, 228]; H: 63.4427490234375
SENSE daaa 56 24-04-2019 09:20:48.832 T: 32.3855972290039 [C]; A:[24, -48, 246]; H: 58.300537109375
SENSE daab 55 24-04-2019 09:20:48.831 T: 32.94720077514648 [C]; A:[-18, -20, 228]; H: 59.13214111328125
SENSE daac 55 24-04-2019 09:20:48.827 T: 29.07839965820312 [C]; A:[234, 80, 24]; H: 64.61004638671875
SENSE daad 55 24-04-2019 09:20:48.826 T: 30.7007999420166 [C]; A:[-6, 64, 232]; H: 63.5037841796875
SENSE daaa 57 24-04-2019 09:20:49.166 T: 32.3855972290039 [C]; A:[24, -42, 240]; H: 58.300537109375
SENSE daab 56 24-04-2019 09:20:49.164 T: 32.94720077514648 [C]; A:[-16, -20, 232]; H: 59.13214111328125
SENSE daac 56 24-04-2019 09:20:49.162 T: 29.07839965820312 [C]; A:[236, 84, 22]; H: 64.61004638671875
SENSE daad 56 24-04-2019 09:20:49.161 T: 30.6383991241455 [C]; A:[0, 64, 228]; H: 63.5343017578125
