SENSE daaa 1 25-04-2019 04:24:54.364 T: 27.3311996459961 [C]; A:[-4, -6, 232]; H: 71.5909423828125
SENSE daad 13 25-04-2019 04:25:07.407 T: 28.64159965515136 [C]; A:[-22, -6, 224]; H: 72.5064697265625
SENSE daaa 24 25-04-2019 04:25:07.887 T: 27.39359855651855 [C]; A:[-16, -12, 230]; H: 71.5909423828125
SENSE daab 19 25-04-2019 04:25:07.929 T: 27.20639991760253 [C]; A:[8, -38, 246]; H: 72.02581787109375
SENSE daaa 25 25-04-2019 04:25:08.255 T: 27.3311996459961 [C]; A:[-14, -8, 226]; H: 71.5909423828125
SENSE daab 20 25-04-2019 04:25:08.443 T: 27.20639991760253 [C]; A:[2, -34, 248]; H: 72.02581787109375
SENSE daaa 26 25-04-2019 04:25:08.603 T: 27.3311996459961 [C]; A:[-14, -6, 234]; H: 71.5909423828125
SENSE daad 14 25-04-2019 04:25:08.370 T: 28.64159965515136 [C]; A:[-24, -8, 212]; H: 72.5064697265625
SENSE daab 21 25-04-2019 04:25:08.894 T: 27.268798828125 [C]; A:[6, -40, 240]; H: 72.02581787109375
SENSE daaa 27 25-04-2019 04:25:08.965 T: 27.39359855651855 [C]; A:[-16, -6, 226]; H: 71.5909423828125
SENSE daaa 28 25-04-2019 04:25:09.397 T: 27.39359855651855 [C]; A:[-12, -8, 226]; H: 71.5909423828125
SENSE daab 22 25-04-2019 04:25:09.379 T: 27.20639991760253 [C]; A:[6, -34, 248]; H: 72.02581787109375
SENSE daad 15 25-04-2019 04:25:09.303 T: 28.64159965515136 [C]; A:[-22, -12, 220]; H: 72.5064697265625
SENSE daaa 29 25-04-2019 04:25:09.730 T: 27.3311996459961 [C]; A:[-18, -8, 232]; H: 71.5909423828125
SENSE daab 23 25-04-2019 04:25:09.816 T: 27.20639991760253 [C]; A:[6, -42, 242]; H: 72.02581787109375
SENSE daaa 30 25-04-2019 04:25:10.102 T: 27.39359855651855 [C]; A:[-12, -8, 228]; H: 71.5909423828125
SENSE daab 24 25-04-2019 04:25:10.334 T: 27.268798828125 [C]; A:[6, -44, 242]; H: 72.02581787109375
SENSE daaa 31 25-04-2019 04:25:10.435 T: 27.3311996459961 [C]; A:[-16, -10, 226]; H: 71.5909423828125
SENSE daad 16 25-04-2019 04:25:10.256 T: 28.64159965515136 [C]; A:[-24, -8, 216]; H: 72.5369873046875
SENSE daab 25 25-04-2019 04:25:10.784 T: 27.268798828125 [C]; A:[6, -42, 240]; H: 72.02581787109375
SENSE daaa 32 25-04-2019 04:25:10.857 T: 27.39359855651855 [C]; A:[-12, -6, 228]; H: 71.5909423828125
SENSE daaa 33 25-04-2019 04:25:11.285 T: 27.39359855651855 [C]; A:[-12, -8, 234]; H: 71.5909423828125
SENSE daab 26 25-04-2019 04:25:11.270 T: 27.268798828125 [C]; A:[6, -42, 240]; H: 72.02581787109375
SENSE daad 17 25-04-2019 04:25:11.199 T: 28.64159965515136 [C]; A:[-26, -6, 222]; H: 72.5675048828125
SENSE daaa 34 25-04-2019 04:25:11.627 T: 27.39359855651855 [C]; A:[-10, -8, 230]; H: 71.5909423828125
SENSE daab 27 25-04-2019 04:25:11.707 T: 27.268798828125 [C]; A:[8, -42, 244]; H: 71.99530029296875
SENSE daaa 35 25-04-2019 04:25:11.989 T: 27.3311996459961 [C]; A:[-18, -4, 228]; H: 71.5909423828125
SENSE daab 28 25-04-2019 04:25:12.206 T: 27.268798828125 [C]; A:[4, -38, 248]; H: 71.99530029296875
SENSE daaa 36 25-04-2019 04:25:12.332 T: 27.3311996459961 [C]; A:[-14, -10, 226]; H: 71.5909423828125
SENSE daad 18 25-04-2019 04:25:12.148 T: 28.70399856567382 [C]; A:[-26, -14, 226]; H: 72.5675048828125
SENSE daab 29 25-04-2019 04:25:12.641 T: 27.20639991760253 [C]; A:[8, -40, 246]; H: 71.99530029296875
SENSE daaa 37 25-04-2019 04:25:12.714 T: 27.3311996459961 [C]; A:[-14, -10, 228]; H: 71.5909423828125
SENSE daaa 38 25-04-2019 04:25:13.151 T: 27.3311996459961 [C]; A:[-16, -6, 228]; H: 71.5909423828125
SENSE daab 30 25-04-2019 04:25:13.132 T: 27.268798828125 [C]; A:[4, -36, 256]; H: 71.99530029296875
SENSE daad 19 25-04-2019 04:25:13.055 T: 28.64159965515136 [C]; A:[-24, -8, 218]; H: 72.5675048828125
SENSE daaa 39 25-04-2019 04:25:13.510 T: 27.3311996459961 [C]; A:[-12, -12, 218]; H: 71.5909423828125
SENSE daab 31 25-04-2019 04:25:13.568 T: 27.268798828125 [C]; A:[6, -36, 248]; H: 71.99530029296875
SENSE daaa 40 25-04-2019 04:25:13.881 T: 27.39359855651855 [C]; A:[-14, -10, 228]; H: 71.5909423828125
SENSE daab 32 25-04-2019 04:25:14.072 T: 27.268798828125 [C]; A:[6, -40, 242]; H: 71.99530029296875
SENSE daaa 41 25-04-2019 04:25:14.224 T: 27.39359855651855 [C]; A:[-16, -12, 226]; H: 71.5909423828125
SENSE daad 20 25-04-2019 04:25:13.998 T: 28.64159965515136 [C]; A:[-24, -12, 218]; H: 72.5369873046875
SENSE daaa 42 25-04-2019 04:25:14.572 T: 27.3311996459961 [C]; A:[-14, -4, 230]; H: 71.5604248046875
SENSE daab 33 25-04-2019 04:25:14.508 T: 27.20639991760253 [C]; A:[4, -44, 242]; H: 71.99530029296875
SENSE daac 16 25-04-2019 04:25:04.545 T: 30.26399993896484 [C]; A:[-6, 56, 226]; H: 66.65472412109375
SENSE daaa 43 25-04-2019 04:25:14.914 T: 27.3311996459961 [C]; A:[-14, -12, 230]; H: 71.5604248046875
SENSE daab 34 25-04-2019 04:25:14.949 T: 27.268798828125 [C]; A:[6, -36, 244]; H: 71.99530029296875
SENSE daaa 44 25-04-2019 04:25:15.277 T: 27.3311996459961 [C]; A:[-16, -10, 232]; H: 71.5604248046875
SENSE daab 35 25-04-2019 04:25:15.446 T: 27.20639991760253 [C]; A:[8, -42, 244]; H: 71.972412109375
SENSE daaa 45 25-04-2019 04:25:15.625 T: 27.39359855651855 [C]; A:[-6, -10, 226]; H: 71.5604248046875
SENSE daac 17 25-04-2019 04:25:15.298 T: 30.3263988494873 [C]; A:[-8, 54, 226]; H: 66.12066650390625
SENSE daab 36 25-04-2019 04:25:15.887 T: 27.20639991760253 [C]; A:[6, -38, 246]; H: 71.972412109375
SENSE daaa 46 25-04-2019 04:25:15.982 T: 27.39359855651855 [C]; A:[-22, -12, 226]; H: 71.5604248046875
SENSE daaa 47 25-04-2019 04:25:16.389 T: 27.39359855651855 [C]; A:[-14, -12, 232]; H: 71.5299072265625
SENSE daab 37 25-04-2019 04:25:16.372 T: 27.20639991760253 [C]; A:[2, -34, 246]; H: 71.972412109375
SENSE daac 18 25-04-2019 04:25:16.251 T: 30.3263988494873 [C]; A:[-10, 54, 228]; H: 66.12066650390625
SENSE daaa 48 25-04-2019 04:25:16.722 T: 27.39359855651855 [C]; A:[-14, -8, 230]; H: 71.5299072265625
SENSE daab 38 25-04-2019 04:25:16.818 T: 27.268798828125 [C]; A:[8, -38, 252]; H: 71.972412109375
SENSE daaa 49 25-04-2019 04:25:17.094 T: 27.3311996459961 [C]; A:[-14, -12, 228]; H: 71.5299072265625
SENSE daab 39 25-04-2019 04:25:17.327 T: 27.268798828125 [C]; A:[4, -38, 242]; H: 71.94189453125
SENSE daaa 50 25-04-2019 04:25:17.437 T: 27.39359855651855 [C]; A:[-16, -8, 230]; H: 71.5299072265625
SENSE daac 19 25-04-2019 04:25:17.189 T: 30.3263988494873 [C]; A:[-8, 56, 228]; H: 66.05963134765625
SENSE daab 40 25-04-2019 04:25:17.778 T: 27.20639991760253 [C]; A:[8, -38, 240]; H: 71.94189453125
SENSE daaa 51 25-04-2019 04:25:17.849 T: 27.39359855651855 [C]; A:[-16, -10, 230]; H: 71.49176025390625
SENSE daaa 52 25-04-2019 04:25:18.292 T: 27.39359855651855 [C]; A:[-16, -6, 228]; H: 71.49176025390625
SENSE daab 41 25-04-2019 04:25:18.268 T: 27.20639991760253 [C]; A:[0, -38, 240]; H: 71.94189453125
SENSE daac 20 25-04-2019 04:25:18.125 T: 30.3263988494873 [C]; A:[-8, 54, 230]; H: 66.02911376953125
SENSE daaa 53 25-04-2019 04:25:18.624 T: 27.39359855651855 [C]; A:[-16, -10, 232]; H: 71.49176025390625
SENSE daab 42 25-04-2019 04:25:18.705 T: 27.268798828125 [C]; A:[4, -34, 246]; H: 71.94189453125
SENSE daaa 54 25-04-2019 04:25:18.996 T: 27.39359855651855 [C]; A:[-16, -10, 228]; H: 71.46124267578125
SENSE daac 21 25-04-2019 04:25:19.070 T: 30.3263988494873 [C]; A:[-8, 48, 230]; H: 66.15118408203125
SENSE daaa 55 25-04-2019 04:25:19.349 T: 27.39359855651855 [C]; A:[-16, -10, 226]; H: 71.46124267578125
SENSE daad 21 25-04-2019 04:25:19.484 T: 28.70399856567382 [C]; A:[-24, -8, 224]; H: 72.2470703125
SENSE daaa 56 25-04-2019 04:25:19.692 T: 27.39359855651855 [C]; A:[-16, -10, 226]; H: 71.46124267578125
SENSE daaa 57 25-04-2019 04:25:20.044 T: 27.39359855651855 [C]; A:[-12, -8, 224]; H: 71.46124267578125
SENSE daad 22 25-04-2019 04:25:19.976 T: 28.70399856567382 [C]; A:[-24, -10, 218]; H: 72.216552734375
SENSE daaa 58 25-04-2019 04:25:20.402 T: 27.39359855651855 [C]; A:[-10, -12, 234]; H: 71.46124267578125
SENSE daad 23 25-04-2019 04:25:20.517 T: 28.70399856567382 [C]; A:[-22, -12, 218]; H: 72.216552734375
SENSE daaa 59 25-04-2019 04:25:20.759 T: 27.39359855651855 [C]; A:[-14, -8, 228]; H: 71.43072509765625
SENSE daad 24 25-04-2019 04:25:20.945 T: 28.70399856567382 [C]; A:[-18, -10, 218]; H: 72.216552734375
SENSE daaa 60 25-04-2019 04:25:21.102 T: 27.39359855651855 [C]; A:[-10, -12, 230]; H: 71.43072509765625
SENSE daad 25 25-04-2019 04:25:21.356 T: 28.70399856567382 [C]; A:[-22, -10, 218]; H: 72.17840576171875
SENSE daaa 61 25-04-2019 04:25:21.484 T: 27.39359855651855 [C]; A:[-14, -10, 230]; H: 71.43072509765625
SENSE daad 26 25-04-2019 04:25:21.788 T: 28.70399856567382 [C]; A:[-30, -8, 222]; H: 72.14788818359375
SENSE daaa 62 25-04-2019 04:25:21.906 T: 27.39359855651855 [C]; A:[-16, -6, 230]; H: 71.43072509765625
SENSE daad 27 25-04-2019 04:25:22.210 T: 28.70399856567382 [C]; A:[-20, -6, 222]; H: 72.08685302734375
SENSE daaa 63 25-04-2019 04:25:22.329 T: 27.39359855651855 [C]; A:[-14, -14, 228]; H: 71.43072509765625
SENSE daad 28 25-04-2019 04:25:22.632 T: 28.70399856567382 [C]; A:[-24, -6, 220]; H: 72.0181884765625
SENSE daaa 64 25-04-2019 04:25:22.756 T: 27.39359855651855 [C]; A:[-14, -8, 226]; H: 71.40020751953125
SENSE daad 29 25-04-2019 04:25:23.054 T: 28.76639938354492 [C]; A:[-20, -8, 228]; H: 71.9876708984375
SENSE daaa 65 25-04-2019 04:25:23.173 T: 27.39359855651855 [C]; A:[-12, -6, 226]; H: 71.40020751953125
SENSE daaa 66 25-04-2019 04:25:23.595 T: 27.39359855651855 [C]; A:[-12, -8, 224]; H: 71.40020751953125
SENSE daab 43 25-04-2019 04:25:23.803 T: 27.268798828125 [C]; A:[2, -38, 246]; H: 71.84271240234375
SENSE daaa 67 25-04-2019 04:25:23.937 T: 27.39359855651855 [C]; A:[-14, -8, 224]; H: 71.40020751953125
SENSE daab 44 25-04-2019 04:25:24.157 T: 27.268798828125 [C]; A:[6, -38, 246]; H: 71.84271240234375
SENSE daaa 68 25-04-2019 04:25:24.310 T: 27.39359855651855 [C]; A:[-12, -10, 232]; H: 71.40020751953125
SENSE daab 45 25-04-2019 04:25:24.516 T: 27.268798828125 [C]; A:[10, -36, 246]; H: 71.84271240234375
SENSE daaa 69 25-04-2019 04:25:24.672 T: 27.39359855651855 [C]; A:[-16, -6, 228]; H: 71.362060546875
SENSE daac 22 25-04-2019 04:25:19.558 T: 30.3263988494873 [C]; A:[-6, 54, 230]; H: 66.21221923828125
SENSE daab 46 25-04-2019 04:25:24.950 T: 27.268798828125 [C]; A:[6, -46, 244]; H: 71.84271240234375
SENSE daaa 70 25-04-2019 04:25:25.036 T: 27.39359855651855 [C]; A:[-12, -10, 232]; H: 71.362060546875
SENSE daaa 71 25-04-2019 04:25:25.452 T: 27.39359855651855 [C]; A:[-16, -12, 226]; H: 71.362060546875
SENSE daab 47 25-04-2019 04:25:25.435 T: 27.20639991760253 [C]; A:[8, -34, 246]; H: 71.8045654296875
SENSE daac 23 25-04-2019 04:25:25.290 T: 30.26399993896484 [C]; A:[-12, 50, 234]; H: 66.3876953125
SENSE daaa 72 25-04-2019 04:25:25.785 T: 27.45599937438964 [C]; A:[-16, -10, 234]; H: 71.33154296875
SENSE daab 48 25-04-2019 04:25:25.872 T: 27.3311996459961 [C]; A:[6, -42, 240]; H: 71.8045654296875
SENSE daaa 73 25-04-2019 04:25:26.162 T: 27.39359855651855 [C]; A:[-18, -10, 228]; H: 71.33154296875
SENSE daab 49 25-04-2019 04:25:26.371 T: 27.20639991760253 [C]; A:[4, -36, 246]; H: 71.84271240234375
SENSE daaa 74 25-04-2019 04:25:26.505 T: 27.39359855651855 [C]; A:[-14, -6, 230]; H: 71.33154296875
SENSE daac 24 25-04-2019 04:25:26.236 T: 30.3263988494873 [C]; A:[-8, 52, 230]; H: 66.357177734375
SENSE daab 50 25-04-2019 04:25:26.827 T: 27.268798828125 [C]; A:[2, -42, 248]; H: 71.81219482421875
SENSE daaa 75 25-04-2019 04:25:26.898 T: 27.39359855651855 [C]; A:[-16, -6, 230]; H: 71.33154296875
SENSE daaa 76 25-04-2019 04:25:27.329 T: 27.39359855651855 [C]; A:[-16, -8, 232]; H: 71.33154296875
SENSE daab 51 25-04-2019 04:25:27.312 T: 27.20639991760253 [C]; A:[8, -40, 242]; H: 71.81219482421875
SENSE daac 25 25-04-2019 04:25:27.171 T: 30.26399993896484 [C]; A:[-10, 52, 226]; H: 66.32666015625
SENSE daaa 77 25-04-2019 04:25:27.698 T: 27.45599937438964 [C]; A:[-16, -10, 232]; H: 71.301025390625
SENSE daab 52 25-04-2019 04:25:27.749 T: 27.268798828125 [C]; A:[4, -34, 244]; H: 71.81219482421875
SENSE daaa 78 25-04-2019 04:25:28.064 T: 27.39359855651855 [C]; A:[-16, -8, 230]; H: 71.301025390625
SENSE daab 53 25-04-2019 04:25:28.262 T: 27.268798828125 [C]; A:[8, -40, 244]; H: 71.81219482421875
SENSE daaa 79 25-04-2019 04:25:28.407 T: 27.39359855651855 [C]; A:[-14, -8, 230]; H: 71.301025390625
SENSE daac 26 25-04-2019 04:25:28.112 T: 30.3263988494873 [C]; A:[-4, 50, 232]; H: 66.32666015625
SENSE daad 30 25-04-2019 04:25:23.476 T: 28.76639938354492 [C]; A:[-22, -8, 220]; H: 71.9571533203125
SENSE daaa 80 25-04-2019 04:25:28.740 T: 27.39359855651855 [C]; A:[-14, -10, 234]; H: 71.301025390625
SENSE daac 27 25-04-2019 04:25:28.818 T: 30.3263988494873 [C]; A:[-12, 52, 232]; H: 66.32666015625
SENSE daaa 81 25-04-2019 04:25:29.132 T: 27.39359855651855 [C]; A:[-12, 0, 232]; H: 71.301025390625
SENSE daad 31 25-04-2019 04:25:29.051 T: 28.70399856567382 [C]; A:[-22, -8, 220]; H: 71.4383544921875
SENSE daac 28 25-04-2019 04:25:29.236 T: 30.3263988494873 [C]; A:[-10, 56, 230]; H: 66.32666015625
SENSE daaa 82 25-04-2019 04:25:29.465 T: 27.39359855651855 [C]; A:[-14, -8, 228]; H: 71.301025390625
SENSE daad 32 25-04-2019 04:25:29.662 T: 28.70399856567382 [C]; A:[-24, -12, 226]; H: 71.4078369140625
SENSE daaa 83 25-04-2019 04:25:29.823 T: 27.39359855651855 [C]; A:[-12, -8, 232]; H: 71.2705078125
SENSE daac 29 25-04-2019 04:25:29.744 T: 30.3263988494873 [C]; A:[-10, 54, 230]; H: 66.32666015625
SENSE daaa 84 25-04-2019 04:25:30.210 T: 27.45599937438964 [C]; A:[-14, -10, 224]; H: 71.2705078125
SENSE daad 33 25-04-2019 04:25:30.183 T: 28.70399856567382 [C]; A:[-24, -6, 220]; H: 71.3773193359375
SENSE daac 30 25-04-2019 04:25:30.287 T: 30.3263988494873 [C]; A:[-8, 48, 222]; H: 66.265625
SENSE daaa 85 25-04-2019 04:25:30.557 T: 27.45599937438964 [C]; A:[-14, -10, 236]; H: 71.2705078125
SENSE daad 34 25-04-2019 04:25:30.704 T: 28.76639938354492 [C]; A:[-22, -10, 220]; H: 71.3773193359375
SENSE daac 31 25-04-2019 04:25:30.779 T: 30.3263988494873 [C]; A:[-10, 52, 224]; H: 66.265625
SENSE daaa 86 25-04-2019 04:25:30.945 T: 27.45599937438964 [C]; A:[-16, -4, 232]; H: 71.2705078125
SENSE daad 35 25-04-2019 04:25:31.215 T: 28.76639938354492 [C]; A:[-22, -10, 224]; H: 71.4078369140625
SENSE daaa 87 25-04-2019 04:25:31.382 T: 27.39359855651855 [C]; A:[-16, -10, 228]; H: 71.2705078125
SENSE daac 32 25-04-2019 04:25:31.302 T: 30.3263988494873 [C]; A:[-8, 50, 230]; H: 66.32666015625
SENSE daaa 88 25-04-2019 04:25:31.784 T: 27.45599937438964 [C]; A:[-14, -8, 226]; H: 71.2705078125
SENSE daad 36 25-04-2019 04:25:31.762 T: 28.70399856567382 [C]; A:[-22, -12, 220]; H: 71.50701904296875
SENSE daac 33 25-04-2019 04:25:31.864 T: 30.3263988494873 [C]; A:[-12, 50, 226]; H: 66.56317138671875
SENSE daaa 89 25-04-2019 04:25:32.132 T: 27.45599937438964 [C]; A:[-16, -10, 232]; H: 71.2705078125
SENSE daad 37 25-04-2019 04:25:32.293 T: 28.76639938354492 [C]; A:[-26, -10, 220]; H: 71.56805419921875
SENSE daaa 90 25-04-2019 04:25:32.495 T: 27.45599937438964 [C]; A:[-14, -8, 230]; H: 71.2705078125
SENSE daaa 91 25-04-2019 04:25:32.852 T: 27.45599937438964 [C]; A:[-14, 0, 230]; H: 71.2705078125
SENSE daad 38 25-04-2019 04:25:32.794 T: 28.76639938354492 [C]; A:[-24, -6, 218]; H: 71.59857177734375
SENSE daaa 92 25-04-2019 04:25:33.190 T: 27.39359855651855 [C]; A:[-12, -10, 230]; H: 71.2705078125
SENSE daab 54 25-04-2019 04:25:33.365 T: 27.268798828125 [C]; A:[6, -36, 250]; H: 71.81219482421875
SENSE daaa 93 25-04-2019 04:25:33.522 T: 27.45599937438964 [C]; A:[-14, -10, 224]; H: 71.2705078125
SENSE daad 39 25-04-2019 04:25:33.296 T: 28.76639938354492 [C]; A:[-22, -8, 222]; H: 71.667236328125
SENSE daab 55 25-04-2019 04:25:33.800 T: 27.3311996459961 [C]; A:[0, -42, 242]; H: 71.789306640625
SENSE daaa 94 25-04-2019 04:25:33.870 T: 27.45599937438964 [C]; A:[-18, -8, 224]; H: 71.2705078125
