SENSE daaa 1 25-04-2019 04:47:17.201 T: 27.20639991760253 [C]; A:[-20, -8, 230]; H: 71.67486572265625
SENSE daab 11 25-04-2019 04:47:22.204 T: 27.45599937438964 [C]; A:[2, -34, 250]; H: 71.0111083984375
SENSE daaa 15 25-04-2019 04:47:22.298 T: 27.14399909973144 [C]; A:[-14, -10, 226]; H: 71.73590087890625
SENSE daac 6 25-04-2019 04:47:22.053 T: 29.45279884338378 [C]; A:[40, 18, 230]; H: 68.859619140625
SENSE daaa 16 25-04-2019 04:47:22.720 T: 27.14399909973144 [C]; A:[-8, -10, 228]; H: 71.73590087890625
SENSE daab 12 25-04-2019 04:47:22.664 T: 27.45599937438964 [C]; A:[6, -36, 242]; H: 71.0111083984375
SENSE daaa 17 25-04-2019 04:47:23.053 T: 27.20639991760253 [C]; A:[-16, -4, 238]; H: 71.73590087890625
SENSE daab 13 25-04-2019 04:47:23.179 T: 27.45599937438964 [C]; A:[8, -40, 242]; H: 71.03399658203125
SENSE daaa 18 25-04-2019 04:47:23.395 T: 27.14399909973144 [C]; A:[-14, -8, 232]; H: 71.73590087890625
SENSE daac 7 25-04-2019 04:47:23.029 T: 29.51519966125488 [C]; A:[34, 20, 228]; H: 68.8291015625
SENSE daab 14 25-04-2019 04:47:23.645 T: 27.45599937438964 [C]; A:[4, -34, 244]; H: 71.03399658203125
SENSE daaa 19 25-04-2019 04:47:23.728 T: 27.14399909973144 [C]; A:[-14, -8, 220]; H: 71.73590087890625
SENSE daaa 20 25-04-2019 04:47:24.160 T: 27.20639991760253 [C]; A:[-12, -8, 232]; H: 71.73590087890625
SENSE daab 15 25-04-2019 04:47:24.145 T: 27.45599937438964 [C]; A:[4, -40, 244]; H: 71.06451416015625
SENSE daac 8 25-04-2019 04:47:23.993 T: 29.45279884338378 [C]; A:[40, 14, 230]; H: 68.6917724609375
SENSE daaa 21 25-04-2019 04:47:24.508 T: 27.14399909973144 [C]; A:[-10, -8, 224]; H: 71.76641845703125
SENSE daab 16 25-04-2019 04:47:24.587 T: 27.45599937438964 [C]; A:[6, -44, 242]; H: 71.06451416015625
SENSE daaa 22 25-04-2019 04:47:24.880 T: 27.14399909973144 [C]; A:[-16, -6, 236]; H: 71.76641845703125
SENSE daab 17 25-04-2019 04:47:25.091 T: 27.45599937438964 [C]; A:[6, -34, 240]; H: 71.06451416015625
SENSE daaa 23 25-04-2019 04:47:25.213 T: 27.14399909973144 [C]; A:[-12, 0, 240]; H: 71.76641845703125
SENSE daac 9 25-04-2019 04:47:24.939 T: 29.45279884338378 [C]; A:[38, 14, 232]; H: 68.60784912109375
SENSE daaa 24 25-04-2019 04:47:25.615 T: 27.14399909973144 [C]; A:[-14, -8, 232]; H: 71.76641845703125
SENSE daab 18 25-04-2019 04:47:25.551 T: 27.39359855651855 [C]; A:[6, -36, 248]; H: 71.08740234375
SENSE daaa 25 25-04-2019 04:47:25.948 T: 27.14399909973144 [C]; A:[-14, -8, 226]; H: 71.76641845703125
SENSE daab 19 25-04-2019 04:47:26.067 T: 27.45599937438964 [C]; A:[2, -42, 246]; H: 71.08740234375
SENSE daac 10 25-04-2019 04:47:25.914 T: 29.45279884338378 [C]; A:[38, 14, 232]; H: 68.52392578125
SENSE daaa 26 25-04-2019 04:47:26.316 T: 27.14399909973144 [C]; A:[-14, -12, 228]; H: 71.76641845703125
SENSE daab 20 25-04-2019 04:47:26.517 T: 27.45599937438964 [C]; A:[4, -34, 246]; H: 71.08740234375
SENSE daaa 27 25-04-2019 04:47:26.732 T: 27.14399909973144 [C]; A:[-16, -6, 230]; H: 71.76641845703125
SENSE daaa 28 25-04-2019 04:47:27.065 T: 27.14399909973144 [C]; A:[-10, -8, 230]; H: 71.76641845703125
SENSE daab 21 25-04-2019 04:47:27.007 T: 27.39359855651855 [C]; A:[4, -36, 248]; H: 71.117919921875
SENSE daac 11 25-04-2019 04:47:26.859 T: 29.45279884338378 [C]; A:[36, 16, 240]; H: 68.44000244140625
SENSE daaa 29 25-04-2019 04:47:27.398 T: 27.14399909973144 [C]; A:[-14, -8, 234]; H: 71.76641845703125
SENSE daab 22 25-04-2019 04:47:27.444 T: 27.45599937438964 [C]; A:[2, -40, 246]; H: 71.117919921875
SENSE daaa 30 25-04-2019 04:47:27.770 T: 27.14399909973144 [C]; A:[-18, -10, 228]; H: 71.76641845703125
SENSE daab 23 25-04-2019 04:47:27.952 T: 27.39359855651855 [C]; A:[4, -36, 264]; H: 71.1484375
SENSE daaa 31 25-04-2019 04:47:28.113 T: 27.14399909973144 [C]; A:[-8, -14, 234]; H: 71.76641845703125
SENSE daac 12 25-04-2019 04:47:27.795 T: 29.45279884338378 [C]; A:[40, 16, 228]; H: 68.40948486328125
SENSE daab 24 25-04-2019 04:47:28.404 T: 27.45599937438964 [C]; A:[6, -40, 248]; H: 71.1484375
SENSE daaa 32 25-04-2019 04:47:28.486 T: 27.20639991760253 [C]; A:[-14, -6, 228]; H: 71.76641845703125
SENSE daaa 33 25-04-2019 04:47:28.922 T: 27.14399909973144 [C]; A:[-16, -8, 232]; H: 71.76641845703125
SENSE daab 25 25-04-2019 04:47:28.903 T: 27.45599937438964 [C]; A:[8, -36, 244]; H: 71.1484375
SENSE daac 13 25-04-2019 04:47:28.750 T: 29.45279884338378 [C]; A:[40, 16, 232]; H: 68.37896728515625
SENSE daaa 34 25-04-2019 04:47:29.255 T: 27.14399909973144 [C]; A:[-16, -6, 228]; H: 71.76641845703125
SENSE daab 26 25-04-2019 04:47:29.345 T: 27.45599937438964 [C]; A:[10, -36, 270]; H: 71.1484375
SENSE daaa 35 25-04-2019 04:47:29.627 T: 27.14399909973144 [C]; A:[-10, -8, 232]; H: 71.76641845703125
SENSE daab 27 25-04-2019 04:47:29.849 T: 27.45599937438964 [C]; A:[2, -42, 236]; H: 71.17132568359375
SENSE daaa 36 25-04-2019 04:47:29.970 T: 27.14399909973144 [C]; A:[-42, 14, 242]; H: 71.76641845703125
SENSE daac 14 25-04-2019 04:47:29.701 T: 29.45279884338378 [C]; A:[40, 16, 230]; H: 68.462890625
SENSE daaa 37 25-04-2019 04:47:30.362 T: 27.14399909973144 [C]; A:[-16, -12, 230]; H: 71.76641845703125
SENSE daab 28 25-04-2019 04:47:30.289 T: 27.45599937438964 [C]; A:[6, -32, 242]; H: 71.17132568359375
SENSE daaa 38 25-04-2019 04:47:30.705 T: 27.14399909973144 [C]; A:[-12, -14, 238]; H: 71.76641845703125
SENSE daab 29 25-04-2019 04:47:30.796 T: 27.45599937438964 [C]; A:[4, -42, 248]; H: 71.17132568359375
SENSE daac 15 25-04-2019 04:47:30.646 T: 29.45279884338378 [C]; A:[36, 16, 224]; H: 68.54681396484375
SENSE daaa 39 25-04-2019 04:47:31.063 T: 27.14399909973144 [C]; A:[-14, -8, 224]; H: 71.76641845703125
SENSE daab 30 25-04-2019 04:47:31.255 T: 27.45599937438964 [C]; A:[2, -40, 268]; H: 71.17132568359375
SENSE daaa 40 25-04-2019 04:47:31.475 T: 27.14399909973144 [C]; A:[-16, -4, 234]; H: 71.76641845703125
SENSE daaa 41 25-04-2019 04:47:31.807 T: 27.14399909973144 [C]; A:[-12, -12, 224]; H: 71.76641845703125
SENSE daab 31 25-04-2019 04:47:31.755 T: 27.45599937438964 [C]; A:[6, -38, 244]; H: 71.17132568359375
SENSE daac 16 25-04-2019 04:47:31.601 T: 29.45279884338378 [C]; A:[40, 18, 232]; H: 68.6307373046875
SENSE daaa 42 25-04-2019 04:47:32.160 T: 27.14399909973144 [C]; A:[-14, -12, 224]; H: 71.8045654296875
SENSE daab 32 25-04-2019 04:47:32.197 T: 27.45599937438964 [C]; A:[6, -38, 248]; H: 71.17132568359375
SENSE daaa 43 25-04-2019 04:47:32.523 T: 27.08160018920898 [C]; A:[-14, -8, 258]; H: 71.8045654296875
SENSE daab 33 25-04-2019 04:47:32.716 T: 27.45599937438964 [C]; A:[8, -36, 240]; H: 71.17132568359375
SENSE daaa 44 25-04-2019 04:47:32.865 T: 27.14399909973144 [C]; A:[-12, -8, 234]; H: 71.8045654296875
SENSE daac 17 25-04-2019 04:47:32.546 T: 29.51519966125488 [C]; A:[40, 16, 232]; H: 68.6612548828125
SENSE daaa 45 25-04-2019 04:47:33.233 T: 27.14399909973144 [C]; A:[-16, -8, 228]; H: 71.8045654296875
SENSE daab 34 25-04-2019 04:47:33.177 T: 27.39359855651855 [C]; A:[6, -38, 244]; H: 71.1484375
SENSE daaa 46 25-04-2019 04:47:33.571 T: 27.14399909973144 [C]; A:[-14, -8, 218]; H: 71.8045654296875
SENSE daab 35 25-04-2019 04:47:33.691 T: 27.39359855651855 [C]; A:[8, -40, 242]; H: 71.17132568359375
SENSE daac 18 25-04-2019 04:47:33.536 T: 29.45279884338378 [C]; A:[40, 16, 230]; H: 68.71466064453125
SENSE daaa 47 25-04-2019 04:47:33.913 T: 27.14399909973144 [C]; A:[-16, -6, 236]; H: 71.8045654296875
SENSE daab 36 25-04-2019 04:47:34.127 T: 27.45599937438964 [C]; A:[8, -40, 250]; H: 71.17132568359375
SENSE daaa 48 25-04-2019 04:47:34.325 T: 27.14399909973144 [C]; A:[-18, -6, 228]; H: 71.8350830078125
SENSE daaa 49 25-04-2019 04:47:34.668 T: 27.14399909973144 [C]; A:[-14, -8, 230]; H: 71.8350830078125
SENSE daab 37 25-04-2019 04:47:34.627 T: 27.45599937438964 [C]; A:[6, -40, 246]; H: 71.17132568359375
SENSE daac 19 25-04-2019 04:47:34.482 T: 29.51519966125488 [C]; A:[38, 18, 228]; H: 68.74517822265625
SENSE daaa 50 25-04-2019 04:47:35.001 T: 27.14399909973144 [C]; A:[-16, -8, 236]; H: 71.8350830078125
SENSE daab 38 25-04-2019 04:47:35.085 T: 27.45599937438964 [C]; A:[6, -38, 246]; H: 71.17132568359375
SENSE daaa 51 25-04-2019 04:47:35.388 T: 27.14399909973144 [C]; A:[-14, -8, 224]; H: 71.8350830078125
SENSE daab 39 25-04-2019 04:47:35.588 T: 27.39359855651855 [C]; A:[2, -40, 240]; H: 71.17132568359375
SENSE daaa 52 25-04-2019 04:47:35.726 T: 27.14399909973144 [C]; A:[-18, -6, 234]; H: 71.8350830078125
SENSE daac 20 25-04-2019 04:47:35.438 T: 29.45279884338378 [C]; A:[40, 14, 230]; H: 68.7833251953125
SENSE daaa 53 25-04-2019 04:47:36.088 T: 27.14399909973144 [C]; A:[-16, -14, 230]; H: 71.8350830078125
SENSE daab 40 25-04-2019 04:47:36.033 T: 27.45599937438964 [C]; A:[10, -42, 244]; H: 71.17132568359375
SENSE daaa 54 25-04-2019 04:47:36.431 T: 27.14399909973144 [C]; A:[-10, -12, 230]; H: 71.8350830078125
SENSE daab 41 25-04-2019 04:47:36.548 T: 27.39359855651855 [C]; A:[4, -42, 238]; H: 71.17132568359375
SENSE daac 21 25-04-2019 04:47:36.392 T: 29.51519966125488 [C]; A:[38, 20, 228]; H: 68.7528076171875
SENSE daaa 55 25-04-2019 04:47:36.764 T: 27.14399909973144 [C]; A:[-12, -4, 226]; H: 71.8350830078125
SENSE daab 42 25-04-2019 04:47:36.984 T: 27.39359855651855 [C]; A:[4, -36, 244]; H: 71.17132568359375
SENSE daaa 56 25-04-2019 04:47:37.196 T: 27.14399909973144 [C]; A:[-16, -10, 230]; H: 71.8045654296875
SENSE daaa 57 25-04-2019 04:47:37.529 T: 27.14399909973144 [C]; A:[-14, -8, 222]; H: 71.8045654296875
SENSE daab 43 25-04-2019 04:47:37.474 T: 27.45599937438964 [C]; A:[0, -38, 248]; H: 71.17132568359375
SENSE daac 22 25-04-2019 04:47:37.323 T: 29.57759857177734 [C]; A:[38, 18, 234]; H: 68.69940185546875
SENSE daaa 58 25-04-2019 04:47:37.902 T: 27.14399909973144 [C]; A:[-16, -6, 232]; H: 71.8045654296875
SENSE daab 44 25-04-2019 04:47:37.936 T: 27.39359855651855 [C]; A:[12, -36, 248]; H: 71.17132568359375
SENSE daaa 59 25-04-2019 04:47:38.269 T: 27.14399909973144 [C]; A:[-14, -8, 230]; H: 71.8045654296875
SENSE daab 45 25-04-2019 04:47:38.440 T: 27.45599937438964 [C]; A:[8, -36, 248]; H: 71.1484375
SENSE daaa 60 25-04-2019 04:47:38.602 T: 27.14399909973144 [C]; A:[-10, -4, 230]; H: 71.8045654296875
SENSE daac 23 25-04-2019 04:47:38.283 T: 29.51519966125488 [C]; A:[38, 16, 224]; H: 68.615478515625
SENSE daaa 61 25-04-2019 04:47:38.954 T: 27.14399909973144 [C]; A:[-16, -4, 236]; H: 71.8045654296875
SENSE daab 46 25-04-2019 04:47:38.900 T: 27.45599937438964 [C]; A:[4, -44, 246]; H: 71.1484375
SENSE daaa 62 25-04-2019 04:47:39.287 T: 27.14399909973144 [C]; A:[-18, -10, 228]; H: 71.8045654296875
SENSE daab 47 25-04-2019 04:47:39.405 T: 27.45599937438964 [C]; A:[2, -40, 252]; H: 71.1484375
SENSE daac 24 25-04-2019 04:47:39.253 T: 29.51519966125488 [C]; A:[34, 18, 232]; H: 68.50103759765625
SENSE daaa 63 25-04-2019 04:47:39.620 T: 27.14399909973144 [C]; A:[-12, -16, 234]; H: 71.8045654296875
SENSE daab 48 25-04-2019 04:47:39.861 T: 27.39359855651855 [C]; A:[4, -40, 244]; H: 71.1484375
SENSE daaa 64 25-04-2019 04:47:40.077 T: 27.14399909973144 [C]; A:[-12, -10, 234]; H: 71.8045654296875
SENSE daab 49 25-04-2019 04:47:40.351 T: 27.39359855651855 [C]; A:[4, -36, 248]; H: 71.17132568359375
SENSE daaa 65 25-04-2019 04:47:40.424 T: 27.14399909973144 [C]; A:[-16, -8, 226]; H: 71.8045654296875
SENSE daac 25 25-04-2019 04:47:40.203 T: 29.51519966125488 [C]; A:[36, 20, 236]; H: 68.3865966796875
SENSE daaa 66 25-04-2019 04:47:40.856 T: 27.14399909973144 [C]; A:[-10, -12, 232]; H: 71.8045654296875
SENSE daab 50 25-04-2019 04:47:40.796 T: 27.39359855651855 [C]; A:[8, -40, 244]; H: 71.17132568359375
SENSE daaa 67 25-04-2019 04:47:41.199 T: 27.14399909973144 [C]; A:[-12, -6, 236]; H: 71.8045654296875
SENSE daab 51 25-04-2019 04:47:41.293 T: 27.39359855651855 [C]; A:[6, -38, 242]; H: 71.17132568359375
SENSE daac 26 25-04-2019 04:47:41.159 T: 29.57759857177734 [C]; A:[36, 14, 228]; H: 68.27978515625
SENSE daaa 68 25-04-2019 04:47:41.532 T: 27.14399909973144 [C]; A:[-16, -8, 224]; H: 71.84271240234375
SENSE daab 52 25-04-2019 04:47:41.727 T: 27.39359855651855 [C]; A:[6, -38, 250]; H: 71.17132568359375
SENSE daaa 69 25-04-2019 04:47:41.944 T: 27.14399909973144 [C]; A:[-12, -8, 226]; H: 71.84271240234375
SENSE daaa 70 25-04-2019 04:47:42.277 T: 27.14399909973144 [C]; A:[-12, -8, 228]; H: 71.84271240234375
SENSE daab 53 25-04-2019 04:47:42.228 T: 27.45599937438964 [C]; A:[4, -42, 244]; H: 71.20184326171875
SENSE daac 27 25-04-2019 04:47:42.080 T: 29.51519966125488 [C]; A:[36, 16, 232]; H: 68.21875
SENSE daaa 71 25-04-2019 04:47:42.650 T: 27.14399909973144 [C]; A:[-12, -8, 228]; H: 71.84271240234375
SENSE daab 54 25-04-2019 04:47:42.686 T: 27.39359855651855 [C]; A:[4, -40, 242]; H: 71.20184326171875
SENSE daad 1 25-04-2019 04:47:17.540 T: 28.89119911193847 [C]; A:[0, 0, 0]; H: 70.0345458984375
SENSE daaa 72 25-04-2019 04:47:42.992 T: 27.14399909973144 [C]; A:[-14, -10, 232]; H: 71.84271240234375
SENSE daab 55 25-04-2019 04:47:43.121 T: 27.39359855651855 [C]; A:[6, -40, 246]; H: 71.20184326171875
SENSE daaa 73 25-04-2019 04:47:43.355 T: 27.14399909973144 [C]; A:[-14, -8, 228]; H: 71.84271240234375
SENSE daab 56 25-04-2019 04:47:43.606 T: 27.45599937438964 [C]; A:[4, -38, 240]; H: 71.20184326171875
SENSE daaa 74 25-04-2019 04:47:43.697 T: 27.14399909973144 [C]; A:[-12, -6, 226]; H: 71.84271240234375
SENSE daad 2 25-04-2019 04:47:43.529 T: 28.95359992980957 [C]; A:[154, -8, 182]; H: 69.74462890625
SENSE daaa 75 25-04-2019 04:47:44.119 T: 27.14399909973144 [C]; A:[-14, -8, 232]; H: 71.84271240234375
SENSE daab 57 25-04-2019 04:47:44.063 T: 27.39359855651855 [C]; A:[8, -38, 248]; H: 71.20184326171875
SENSE daaa 76 25-04-2019 04:47:44.462 T: 27.14399909973144 [C]; A:[-12, -10, 224]; H: 71.84271240234375
SENSE daab 58 25-04-2019 04:47:44.581 T: 27.39359855651855 [C]; A:[4, -40, 240]; H: 71.20184326171875
SENSE daad 3 25-04-2019 04:47:44.503 T: 28.95359992980957 [C]; A:[156, -6, 182]; H: 69.714111328125
SENSE daaa 77 25-04-2019 04:47:44.825 T: 27.14399909973144 [C]; A:[-16, -8, 232]; H: 71.84271240234375
SENSE daab 59 25-04-2019 04:47:45.017 T: 27.39359855651855 [C]; A:[8, -40, 242]; H: 71.20184326171875
SENSE daaa 78 25-04-2019 04:47:45.232 T: 27.14399909973144 [C]; A:[-12, -10, 230]; H: 71.84271240234375
SENSE daaa 79 25-04-2019 04:47:45.575 T: 27.14399909973144 [C]; A:[-12, -6, 230]; H: 71.84271240234375
SENSE daab 60 25-04-2019 04:47:45.502 T: 27.45599937438964 [C]; A:[8, -40, 246]; H: 71.23236083984375
SENSE daad 4 25-04-2019 04:47:45.426 T: 28.95359992980957 [C]; A:[152, -12, 178]; H: 69.72174072265625
SENSE daaa 80 25-04-2019 04:47:45.907 T: 27.14399909973144 [C]; A:[-16, -16, 224]; H: 71.84271240234375
SENSE daab 61 25-04-2019 04:47:45.954 T: 27.45599937438964 [C]; A:[6, -38, 244]; H: 71.23236083984375
SENSE daaa 81 25-04-2019 04:47:46.280 T: 27.20639991760253 [C]; A:[-14, -8, 222]; H: 71.84271240234375
SENSE daab 62 25-04-2019 04:47:46.468 T: 27.39359855651855 [C]; A:[8, -36, 242]; H: 71.23236083984375
SENSE daaa 82 25-04-2019 04:47:46.613 T: 27.14399909973144 [C]; A:[-18, -8, 232]; H: 71.84271240234375
SENSE daad 5 25-04-2019 04:47:46.390 T: 28.95359992980957 [C]; A:[154, -8, 172]; H: 69.72174072265625
SENSE daaa 83 25-04-2019 04:47:46.991 T: 27.14399909973144 [C]; A:[-16, -8, 232]; H: 71.84271240234375
SENSE daab 63 25-04-2019 04:47:46.928 T: 27.39359855651855 [C]; A:[6, -38, 240]; H: 71.23236083984375
SENSE daab 64 25-04-2019 04:47:47.438 T: 27.39359855651855 [C]; A:[8, -40, 242]; H: 71.23236083984375
SENSE daad 6 25-04-2019 04:47:47.362 T: 29.01599884033203 [C]; A:[156, -10, 174]; H: 69.72174072265625
SENSE daab 65 25-04-2019 04:47:47.874 T: 27.39359855651855 [C]; A:[6, -42, 242]; H: 71.23236083984375
SENSE daab 66 25-04-2019 04:47:48.359 T: 27.45599937438964 [C]; A:[4, -40, 244]; H: 71.23236083984375
SENSE daad 7 25-04-2019 04:47:48.291 T: 28.95359992980957 [C]; A:[152, -8, 166]; H: 69.72174072265625
SENSE daab 67 25-04-2019 04:47:48.815 T: 27.45599937438964 [C]; A:[4, -42, 246]; H: 71.23236083984375
SENSE daab 68 25-04-2019 04:47:49.315 T: 27.39359855651855 [C]; A:[6, -36, 242]; H: 71.23236083984375
SENSE daad 8 25-04-2019 04:47:49.239 T: 29.01599884033203 [C]; A:[154, -4, 170]; H: 69.69122314453125
SENSE daab 69 25-04-2019 04:47:49.750 T: 27.39359855651855 [C]; A:[10, -40, 240]; H: 71.23236083984375
SENSE daab 70 25-04-2019 04:47:50.236 T: 27.45599937438964 [C]; A:[8, -40, 240]; H: 71.23236083984375
SENSE daad 9 25-04-2019 04:47:50.158 T: 28.95359992980957 [C]; A:[156, -8, 176]; H: 69.72174072265625
SENSE daab 71 25-04-2019 04:47:50.711 T: 27.39359855651855 [C]; A:[6, -42, 238]; H: 71.23236083984375
SENSE daab 72 25-04-2019 04:47:51.211 T: 27.39359855651855 [C]; A:[8, -44, 242]; H: 71.23236083984375
SENSE daad 10 25-04-2019 04:47:51.135 T: 29.01599884033203 [C]; A:[148, 0, 170]; H: 69.72174072265625
SENSE daab 73 25-04-2019 04:47:51.647 T: 27.39359855651855 [C]; A:[8, -38, 240]; H: 71.23236083984375
SENSE daaa 84 25-04-2019 04:47:52.086 T: 27.20639991760253 [C]; A:[-16, -8, 234]; H: 71.81219482421875
SENSE daab 74 25-04-2019 04:47:52.132 T: 27.45599937438964 [C]; A:[4, -28, 242]; H: 71.23236083984375
SENSE daaa 85 25-04-2019 04:47:52.419 T: 27.14399909973144 [C]; A:[-16, -8, 228]; H: 71.81219482421875
SENSE daab 75 25-04-2019 04:47:52.572 T: 27.45599937438964 [C]; A:[12, -42, 242]; H: 71.23236083984375
SENSE daaa 86 25-04-2019 04:47:52.761 T: 27.20639991760253 [C]; A:[-14, -10, 232]; H: 71.81219482421875
SENSE daaa 87 25-04-2019 04:47:53.104 T: 27.14399909973144 [C]; A:[-14, -14, 236]; H: 71.81219482421875
SENSE daab 76 25-04-2019 04:47:53.083 T: 27.45599937438964 [C]; A:[6, -40, 248]; H: 71.23236083984375
SENSE daac 28 25-04-2019 04:47:52.936 T: 29.63999938964843 [C]; A:[38, 18, 226]; H: 69.0885009765625
SENSE daaa 88 25-04-2019 04:47:53.447 T: 27.14399909973144 [C]; A:[-10, -10, 228]; H: 71.81219482421875
SENSE daab 77 25-04-2019 04:47:53.545 T: 27.45599937438964 [C]; A:[2, -40, 244]; H: 71.23236083984375
SENSE daaa 89 25-04-2019 04:47:53.825 T: 27.20639991760253 [C]; A:[-12, -12, 234]; H: 71.81219482421875
SENSE daab 78 25-04-2019 04:47:54.078 T: 27.39359855651855 [C]; A:[6, -34, 246]; H: 71.23236083984375
SENSE daaa 90 25-04-2019 04:47:54.182 T: 27.14399909973144 [C]; A:[-12, -10, 230]; H: 71.81219482421875
SENSE daac 29 25-04-2019 04:47:53.926 T: 29.63999938964843 [C]; A:[40, 14, 230]; H: 69.20294189453125
SENSE daaa 91 25-04-2019 04:47:54.584 T: 27.20639991760253 [C]; A:[-14, -6, 232]; H: 71.81219482421875
SENSE daab 79 25-04-2019 04:47:54.514 T: 27.45599937438964 [C]; A:[4, -40, 248]; H: 71.2857666015625
SENSE daaa 92 25-04-2019 04:47:54.917 T: 27.14399909973144 [C]; A:[-12, -8, 228]; H: 71.81219482421875
SENSE daab 80 25-04-2019 04:47:55.005 T: 27.45599937438964 [C]; A:[8, -42, 240]; H: 71.2857666015625
SENSE daac 30 25-04-2019 04:47:54.856 T: 29.63999938964843 [C]; A:[38, 14, 230]; H: 69.20294189453125
SENSE daaa 93 25-04-2019 04:47:55.249 T: 27.14399909973144 [C]; A:[-16, -8, 224]; H: 71.81219482421875
SENSE daab 81 25-04-2019 04:47:55.460 T: 27.45599937438964 [C]; A:[8, -36, 244]; H: 71.2857666015625
SENSE daaa 94 25-04-2019 04:47:55.672 T: 27.20639991760253 [C]; A:[-14, -6, 226]; H: 71.81219482421875
SENSE daaa 95 25-04-2019 04:47:56.004 T: 27.20639991760253 [C]; A:[-10, -8, 226]; H: 71.81219482421875
SENSE daab 82 25-04-2019 04:47:55.960 T: 27.45599937438964 [C]; A:[6, -36, 246]; H: 71.2857666015625
SENSE daac 31 25-04-2019 04:47:55.807 T: 29.63999938964843 [C]; A:[44, 18, 236]; H: 69.0885009765625
SENSE daaa 96 25-04-2019 04:47:56.378 T: 27.14399909973144 [C]; A:[-12, -6, 230]; H: 71.81219482421875
SENSE daab 83 25-04-2019 04:47:56.421 T: 27.45599937438964 [C]; A:[4, -38, 246]; H: 71.2857666015625
SENSE daaa 97 25-04-2019 04:47:56.739 T: 27.14399909973144 [C]; A:[-14, -10, 230]; H: 71.81219482421875
SENSE daab 84 25-04-2019 04:47:56.945 T: 27.39359855651855 [C]; A:[8, -42, 242]; H: 71.2857666015625
