SENSE daab 1 26-04-2019 03:34:19.873 T: 29.01599884033203 [C]; A:[0, 0, 0]; H: 72.45306396484375
SENSE daab 96 26-04-2019 03:34:57.311 T: 29.07839965820312 [C]; A:[88, -6, 216]; H: 72.826904296875
SENSE daaa 97 26-04-2019 03:34:57.532 T: 26.83199882507324 [C]; A:[112, 74, 210]; H: 76.90863037109375
SENSE daac 68 26-04-2019 03:34:57.623 T: 27.70559883117675 [C]; A:[-30, -10, 200]; H: 76.42034912109375
SENSE daab 97 26-04-2019 03:34:57.719 T: 29.07839965820312 [C]; A:[94, -4, 218]; H: 72.826904296875
SENSE daaa 98 26-04-2019 03:34:57.930 T: 26.83199882507324 [C]; A:[116, 74, 212]; H: 76.90863037109375
SENSE daac 69 26-04-2019 03:34:58.183 T: 27.70559883117675 [C]; A:[-36, -10, 206]; H: 76.38983154296875
SENSE daaa 99 26-04-2019 03:34:58.333 T: 26.76959991455078 [C]; A:[120, 76, 216]; H: 76.90863037109375
SENSE daab 99 26-04-2019 03:34:58.485 T: 29.07839965820312 [C]; A:[86, 0, 212]; H: 72.826904296875
SENSE daaa 100 26-04-2019 03:34:58.731 T: 26.83199882507324 [C]; A:[122, 74, 214]; H: 76.90863037109375
SENSE daac 70 26-04-2019 03:34:58.752 T: 27.70559883117675 [C]; A:[-32, -6, 200]; H: 76.38983154296875
SENSE daaa 101 26-04-2019 03:34:59.140 T: 26.83199882507324 [C]; A:[120, 74, 204]; H: 76.87811279296875
SENSE daab 101 26-04-2019 03:34:59.257 T: 29.07839965820312 [C]; A:[86, 2, 226]; H: 72.80401611328125
SENSE daac 71 26-04-2019 03:34:59.313 T: 27.6431999206543 [C]; A:[-34, -6, 206]; H: 76.33642578125
SENSE daaa 102 26-04-2019 03:34:59.543 T: 26.83199882507324 [C]; A:[120, 76, 206]; H: 76.87811279296875
SENSE daab 102 26-04-2019 03:34:59.675 T: 29.07839965820312 [C]; A:[82, 0, 210]; H: 72.77349853515625
SENSE daaa 103 26-04-2019 03:34:59.941 T: 26.83199882507324 [C]; A:[120, 72, 206]; H: 76.87811279296875
SENSE daab 103 26-04-2019 03:35:00.073 T: 29.14079856872558 [C]; A:[86, 0, 216]; H: 72.74298095703125
SENSE daaa 104 26-04-2019 03:35:00.344 T: 26.83199882507324 [C]; A:[116, 76, 206]; H: 76.87811279296875
SENSE daaa 105 26-04-2019 03:35:00.742 T: 26.83199882507324 [C]; A:[118, 72, 210]; H: 76.87811279296875
SENSE daab 105 26-04-2019 03:35:00.849 T: 29.14079856872558 [C]; A:[88, -4, 212]; H: 72.7200927734375
SENSE daac 74 26-04-2019 03:35:00.928 T: 27.70559883117675 [C]; A:[-32, -8, 196]; H: 76.3516845703125
