SENSE daaa 1 22-04-2019 11:26:49.538 T: 26.02079963684082 [C]; A:[6, -14, 250]; H: 62.511962890625
SENSE daad 22 22-04-2019 11:27:08.941 T: 25.70879936218261 [C]; A:[0, 6, 232]; H: 64.70159912109375
SENSE daac 17 22-04-2019 11:27:09.094 T: 27.20639991760253 [C]; A:[-4, 66, 194]; H: 64.00732421875
SENSE daab 3 22-04-2019 11:26:58.504 T: 28.2047996520996 [C]; A:[0, 0, 192]; H: 61.48199462890625
SENSE daad 23 22-04-2019 11:27:09.587 T: 25.70879936218261 [C]; A:[0, 2, 228]; H: 64.7244873046875
SENSE daac 18 22-04-2019 11:27:09.799 T: 27.20639991760253 [C]; A:[0, 62, 194]; H: 63.976806640625
SENSE daab 4 22-04-2019 11:27:03.851 T: 28.2047996520996 [C]; A:[30, 78, 318]; H: 61.42095947265625
SENSE daad 24 22-04-2019 11:27:10.660 T: 25.70879936218261 [C]; A:[0, 4, 234]; H: 64.7244873046875
SENSE daab 5 22-04-2019 11:27:04.510 T: 28.26719856262207 [C]; A:[-48, -32, 160]; H: 61.42095947265625
SENSE daac 19 22-04-2019 11:27:10.764 T: 27.14399909973144 [C]; A:[0, 64, 192]; H: 63.9462890625
SENSE daab 6 22-04-2019 11:27:04.912 T: 28.26719856262207 [C]; A:[-48, -24, 180]; H: 61.45147705078125
SENSE daab 7 22-04-2019 11:27:05.362 T: 28.26719856262207 [C]; A:[-32, -32, 160]; H: 61.42095947265625
SENSE daac 20 22-04-2019 11:27:11.974 T: 27.14399909973144 [C]; A:[0, 64, 192]; H: 63.915771484375
SENSE daac 21 22-04-2019 11:27:12.889 T: 27.14399909973144 [C]; A:[0, 62, 192]; H: 63.915771484375
SENSE daac 22 22-04-2019 11:27:13.385 T: 27.14399909973144 [C]; A:[0, 64, 194]; H: 63.915771484375
SENSE daac 23 22-04-2019 11:27:13.880 T: 27.14399909973144 [C]; A:[0, 58, 192]; H: 63.915771484375
SENSE daac 24 22-04-2019 11:27:14.385 T: 27.14399909973144 [C]; A:[0, 64, 200]; H: 63.88525390625
SENSE daac 25 22-04-2019 11:27:14.895 T: 27.14399909973144 [C]; A:[-8, 64, 190]; H: 63.88525390625
SENSE daac 26 22-04-2019 11:27:15.385 T: 27.14399909973144 [C]; A:[0, 64, 198]; H: 63.88525390625
SENSE daac 27 22-04-2019 11:27:15.890 T: 27.14399909973144 [C]; A:[0, 62, 194]; H: 63.88525390625
SENSE daad 25 22-04-2019 11:27:16.115 T: 25.77120018005371 [C]; A:[0, 0, 238]; H: 64.7244873046875
SENSE daac 28 22-04-2019 11:27:16.485 T: 27.14399909973144 [C]; A:[0, 64, 194]; H: 63.88525390625
SENSE daac 29 22-04-2019 11:27:17.010 T: 27.14399909973144 [C]; A:[0, 62, 198]; H: 63.88525390625
SENSE daaa 16 22-04-2019 11:27:07.703 T: 26.08319854736328 [C]; A:[8, -4, 252]; H: 62.68743896484375
SENSE daac 30 22-04-2019 11:27:17.505 T: 27.20639991760253 [C]; A:[0, 64, 196]; H: 63.88525390625
SENSE daaa 17 22-04-2019 11:27:17.982 T: 26.08319854736328 [C]; A:[4, -8, 248]; H: 62.80950927734375
SENSE daaa 18 22-04-2019 11:27:18.559 T: 26.08319854736328 [C]; A:[6, -2, 246]; H: 62.74847412109375
SENSE daab 8 22-04-2019 11:27:10.434 T: 28.2047996520996 [C]; A:[62, 94, 326]; H: 61.00897216796875
SENSE daaa 19 22-04-2019 11:27:19.022 T: 26.08319854736328 [C]; A:[0, 0, 244]; H: 62.71795654296875
SENSE daab 9 22-04-2019 11:27:10.976 T: 28.26719856262207 [C]; A:[-22, 52, 318]; H: 60.94793701171875
SENSE daaa 20 22-04-2019 11:27:19.600 T: 26.14559936523437 [C]; A:[2, -6, 244]; H: 62.634033203125
SENSE daab 10 22-04-2019 11:27:11.428 T: 28.26719856262207 [C]; A:[70, 94, 332]; H: 60.94793701171875
SENSE daaa 21 22-04-2019 11:27:20.177 T: 26.08319854736328 [C]; A:[6, -8, 248]; H: 62.572998046875
SENSE daab 11 22-04-2019 11:27:11.866 T: 28.26719856262207 [C]; A:[62, 52, 228]; H: 60.91741943359375
SENSE daaa 22 22-04-2019 11:27:20.744 T: 26.08319854736328 [C]; A:[2, -6, 248]; H: 62.54248046875
SENSE daab 12 22-04-2019 11:27:12.318 T: 28.26719856262207 [C]; A:[62, 94, 334]; H: 60.88690185546875
SENSE daab 13 22-04-2019 11:27:12.778 T: 28.26719856262207 [C]; A:[-48, -32, 160]; H: 60.864013671875
SENSE daab 14 22-04-2019 11:27:13.245 T: 28.26719856262207 [C]; A:[-48, -16, 196]; H: 60.83349609375
SENSE daad 26 22-04-2019 11:27:22.016 T: 25.77120018005371 [C]; A:[0, 0, 238]; H: 64.67108154296875
SENSE daab 15 22-04-2019 11:27:13.655 T: 28.26719856262207 [C]; A:[78, 94, 318]; H: 60.83349609375
SENSE daab 16 22-04-2019 11:27:14.103 T: 28.26719856262207 [C]; A:[62, 94, 334]; H: 60.802978515625
SENSE daac 31 22-04-2019 11:27:18.200 T: 27.20639991760253 [C]; A:[0, 60, 190]; H: 63.854736328125
SENSE daaa 23 22-04-2019 11:27:21.321 T: 26.02079963684082 [C]; A:[4, -6, 256]; H: 62.511962890625
SENSE daaa 24 22-04-2019 11:27:26.578 T: 26.08319854736328 [C]; A:[6, 0, 256]; H: 62.2830810546875
SENSE daaa 25 22-04-2019 11:27:27.036 T: 26.08319854736328 [C]; A:[4, 0, 248]; H: 62.2830810546875
SENSE daaa 26 22-04-2019 11:27:27.504 T: 26.08319854736328 [C]; A:[6, -4, 250]; H: 62.2830810546875
SENSE daaa 27 22-04-2019 11:27:27.951 T: 26.08319854736328 [C]; A:[4, -6, 248]; H: 62.2830810546875
SENSE daad 27 22-04-2019 11:27:23.089 T: 25.77120018005371 [C]; A:[0, 0, 226]; H: 64.67108154296875
SENSE daad 28 22-04-2019 11:27:28.693 T: 25.77120018005371 [C]; A:[0, 4, 232]; H: 64.709228515625
SENSE daac 32 22-04-2019 11:27:28.793 T: 27.20639991760253 [C]; A:[0, 64, 192]; H: 63.74029541015625
SENSE daad 29 22-04-2019 11:27:29.284 T: 25.77120018005371 [C]; A:[0, 2, 230]; H: 64.709228515625
SENSE daac 33 22-04-2019 11:27:29.498 T: 27.20639991760253 [C]; A:[0, 62, 192]; H: 63.67926025390625
SENSE daab 17 22-04-2019 11:27:14.501 T: 28.26719856262207 [C]; A:[-48, -28, 182]; H: 60.7724609375
SENSE daad 30 22-04-2019 11:27:29.994 T: 25.77120018005371 [C]; A:[0, 0, 232]; H: 64.709228515625
SENSE daac 34 22-04-2019 11:27:30.213 T: 27.20639991760253 [C]; A:[0, 64, 194]; H: 63.70977783203125
SENSE daab 18 22-04-2019 11:27:19.998 T: 28.26719856262207 [C]; A:[-48, -32, 160]; H: 60.71142578125
SENSE daad 31 22-04-2019 11:27:31.082 T: 25.77120018005371 [C]; A:[0, 6, 228]; H: 64.67108154296875
SENSE daab 19 22-04-2019 11:27:20.673 T: 28.26719856262207 [C]; A:[-62, -32, 160]; H: 60.680908203125
SENSE daac 35 22-04-2019 11:27:31.198 T: 27.268798828125 [C]; A:[0, 64, 192]; H: 63.67926025390625
SENSE daab 20 22-04-2019 11:27:21.088 T: 28.26719856262207 [C]; A:[62, 40, 208]; H: 60.680908203125
SENSE daab 21 22-04-2019 11:27:21.539 T: 28.26719856262207 [C]; A:[70, 78, 280]; H: 60.650390625
SENSE daac 36 22-04-2019 11:27:32.394 T: 27.20639991760253 [C]; A:[0, 64, 194]; H: 63.67926025390625
SENSE daab 22 22-04-2019 11:27:21.944 T: 28.26719856262207 [C]; A:[-56, -32, 168]; H: 60.650390625
SENSE daaa 28 22-04-2019 11:27:28.409 T: 26.08319854736328 [C]; A:[4, -4, 252]; H: 62.2525634765625
SENSE daac 37 22-04-2019 11:27:33.469 T: 27.20639991760253 [C]; A:[0, 64, 198]; H: 63.6563720703125
SENSE daaa 29 22-04-2019 11:27:34.024 T: 26.08319854736328 [C]; A:[6, -4, 248]; H: 62.2525634765625
SENSE daac 38 22-04-2019 11:27:34.269 T: 27.268798828125 [C]; A:[0, 60, 192]; H: 63.6258544921875
SENSE daaa 30 22-04-2019 11:27:34.636 T: 26.08319854736328 [C]; A:[6, -6, 248]; H: 62.2830810546875
SENSE daac 39 22-04-2019 11:27:34.844 T: 27.268798828125 [C]; A:[0, 64, 196]; H: 63.6258544921875
SENSE daaa 31 22-04-2019 11:27:35.214 T: 26.14559936523437 [C]; A:[4, 0, 252]; H: 62.2830810546875
SENSE daac 40 22-04-2019 11:27:35.419 T: 27.268798828125 [C]; A:[0, 64, 196]; H: 63.5953369140625
SENSE daaa 32 22-04-2019 11:27:35.791 T: 26.14559936523437 [C]; A:[6, -6, 254]; H: 62.30596923828125
SENSE daac 41 22-04-2019 11:27:35.994 T: 27.268798828125 [C]; A:[0, 64, 192]; H: 63.5953369140625
SENSE daaa 33 22-04-2019 11:27:36.359 T: 26.08319854736328 [C]; A:[4, 0, 244]; H: 62.30596923828125
SENSE daad 32 22-04-2019 11:27:36.447 T: 25.77120018005371 [C]; A:[-6, 0, 236]; H: 64.70159912109375
SENSE daac 42 22-04-2019 11:27:36.639 T: 27.268798828125 [C]; A:[0, 64, 192]; H: 63.5953369140625
SENSE daad 33 22-04-2019 11:27:37.287 T: 25.77120018005371 [C]; A:[-6, 4, 232]; H: 64.70159912109375
SENSE daac 43 22-04-2019 11:27:37.505 T: 27.268798828125 [C]; A:[0, 64, 192]; H: 63.5648193359375
SENSE daad 34 22-04-2019 11:27:38.007 T: 25.77120018005371 [C]; A:[-6, 4, 230]; H: 64.70159912109375
SENSE daac 44 22-04-2019 11:27:38.225 T: 27.268798828125 [C]; A:[0, 62, 192]; H: 63.5648193359375
SENSE daad 35 22-04-2019 11:27:38.728 T: 25.77120018005371 [C]; A:[0, 0, 232]; H: 64.73974609375
SENSE daac 45 22-04-2019 11:27:38.940 T: 27.268798828125 [C]; A:[0, 64, 192]; H: 63.5648193359375
SENSE daad 36 22-04-2019 11:27:39.433 T: 25.77120018005371 [C]; A:[-6, 0, 228]; H: 64.73974609375
SENSE daac 46 22-04-2019 11:27:39.655 T: 27.268798828125 [C]; A:[0, 62, 198]; H: 63.5648193359375
SENSE daad 37 22-04-2019 11:27:40.148 T: 25.77120018005371 [C]; A:[-4, 6, 234]; H: 64.709228515625
SENSE daac 47 22-04-2019 11:27:40.361 T: 27.268798828125 [C]; A:[-4, 66, 196]; H: 63.5648193359375
SENSE daad 38 22-04-2019 11:27:40.864 T: 25.83359909057617 [C]; A:[0, 0, 234]; H: 64.709228515625
SENSE daac 48 22-04-2019 11:27:41.086 T: 27.3311996459961 [C]; A:[0, 62, 192]; H: 63.5648193359375
SENSE daaa 34 22-04-2019 11:27:37.011 T: 26.08319854736328 [C]; A:[2, 0, 252]; H: 62.36700439453125
SENSE daad 39 22-04-2019 11:27:41.594 T: 25.77120018005371 [C]; A:[0, 2, 228]; H: 64.709228515625
SENSE daaa 35 22-04-2019 11:27:42.257 T: 26.08319854736328 [C]; A:[8, 0, 252]; H: 62.30596923828125
SENSE daad 40 22-04-2019 11:27:42.533 T: 25.77120018005371 [C]; A:[0, 2, 226]; H: 64.709228515625
SENSE daaa 36 22-04-2019 11:27:42.835 T: 26.08319854736328 [C]; A:[0, -6, 240]; H: 62.2830810546875
SENSE daad 41 22-04-2019 11:27:43.124 T: 25.77120018005371 [C]; A:[0, 0, 228]; H: 64.709228515625
SENSE daaa 37 22-04-2019 11:27:43.417 T: 26.08319854736328 [C]; A:[4, -4, 250]; H: 62.2525634765625
SENSE daad 42 22-04-2019 11:27:43.735 T: 25.83359909057617 [C]; A:[-6, 4, 226]; H: 64.709228515625
SENSE daaa 38 22-04-2019 11:27:44.009 T: 26.08319854736328 [C]; A:[0, -4, 248]; H: 62.2525634765625
SENSE daad 43 22-04-2019 11:27:44.316 T: 25.77120018005371 [C]; A:[0, 2, 230]; H: 64.709228515625
SENSE daaa 39 22-04-2019 11:27:44.617 T: 26.08319854736328 [C]; A:[6, -8, 252]; H: 62.2220458984375
SENSE daad 44 22-04-2019 11:27:44.882 T: 25.77120018005371 [C]; A:[0, 0, 230]; H: 64.73974609375
SENSE daaa 40 22-04-2019 11:27:45.179 T: 26.02079963684082 [C]; A:[4, -4, 252]; H: 62.2220458984375
SENSE daad 45 22-04-2019 11:27:45.458 T: 25.83359909057617 [C]; A:[-4, 4, 224]; H: 64.73974609375
SENSE daaa 41 22-04-2019 11:27:45.752 T: 26.08319854736328 [C]; A:[4, -8, 236]; H: 62.1915283203125
SENSE daad 46 22-04-2019 11:27:46.029 T: 25.77120018005371 [C]; A:[0, 2, 234]; H: 64.73974609375
SENSE daab 23 22-04-2019 11:27:22.384 T: 28.26719856262207 [C]; A:[-60, -32, 160]; H: 60.619873046875
SENSE daab 24 22-04-2019 11:27:32.842 T: 28.14239883422851 [C]; A:[74, 94, 334]; H: 60.741943359375
SENSE daac 49 22-04-2019 11:27:41.801 T: 27.268798828125 [C]; A:[2, 64, 202]; H: 63.5648193359375
SENSE daab 25 22-04-2019 11:27:33.250 T: 28.14239883422851 [C]; A:[74, 78, 304]; H: 60.741943359375
SENSE daab 26 22-04-2019 11:27:33.694 T: 28.14239883422851 [C]; A:[-48, -32, 160]; H: 60.741943359375
SENSE daac 50 22-04-2019 11:27:47.738 T: 27.268798828125 [C]; A:[0, 64, 194]; H: 63.4732666015625
SENSE daab 27 22-04-2019 11:27:34.104 T: 28.14239883422851 [C]; A:[-56, -24, 160]; H: 60.7724609375
SENSE daab 28 22-04-2019 11:27:34.561 T: 28.14239883422851 [C]; A:[-44, -24, 206]; H: 60.7724609375
SENSE daac 51 22-04-2019 11:27:48.833 T: 27.3311996459961 [C]; A:[0, 64, 192]; H: 63.4427490234375
SENSE daab 29 22-04-2019 11:27:34.964 T: 28.2047996520996 [C]; A:[-56, -32, 160]; H: 60.79534912109375
SENSE daab 30 22-04-2019 11:27:35.415 T: 28.14239883422851 [C]; A:[0, 0, 176]; H: 60.79534912109375
SENSE daac 52 22-04-2019 11:27:49.898 T: 27.3311996459961 [C]; A:[0, 62, 194]; H: 63.4427490234375
SENSE daaa 42 22-04-2019 11:27:46.334 T: 26.08319854736328 [C]; A:[2, 0, 246]; H: 62.1915283203125
SENSE daad 47 22-04-2019 11:27:46.606 T: 25.83359909057617 [C]; A:[0, 0, 228]; H: 64.73974609375
SENSE daaa 43 22-04-2019 11:27:51.581 T: 26.08319854736328 [C]; A:[2, -4, 252]; H: 62.2220458984375
SENSE daad 48 22-04-2019 11:27:51.991 T: 25.89599990844726 [C]; A:[0, 4, 232]; H: 64.709228515625
SENSE daaa 44 22-04-2019 11:27:52.282 T: 26.08319854736328 [C]; A:[2, -8, 246]; H: 62.2525634765625
SENSE daad 49 22-04-2019 11:27:52.577 T: 25.83359909057617 [C]; A:[0, 0, 228]; H: 64.6787109375
SENSE daaa 45 22-04-2019 11:27:52.880 T: 26.08319854736328 [C]; A:[6, 0, 248]; H: 62.2525634765625
SENSE daad 50 22-04-2019 11:27:53.153 T: 25.83359909057617 [C]; A:[-4, 6, 234]; H: 64.6787109375
SENSE daaa 46 22-04-2019 11:27:53.452 T: 26.08319854736328 [C]; A:[8, -4, 246]; H: 62.2830810546875
SENSE daad 51 22-04-2019 11:27:53.724 T: 25.83359909057617 [C]; A:[0, 0, 228]; H: 64.65582275390625
SENSE daaa 47 22-04-2019 11:27:54.025 T: 26.08319854736328 [C]; A:[0, 0, 250]; H: 62.2830810546875
SENSE daad 52 22-04-2019 11:27:54.296 T: 25.83359909057617 [C]; A:[0, 2, 236]; H: 64.62530517578125
SENSE daaa 48 22-04-2019 11:27:54.597 T: 26.08319854736328 [C]; A:[6, -4, 246]; H: 62.30596923828125
SENSE daad 53 22-04-2019 11:27:54.877 T: 25.83359909057617 [C]; A:[0, 0, 230]; H: 64.59478759765625
SENSE daaa 49 22-04-2019 11:27:55.179 T: 26.08319854736328 [C]; A:[2, -6, 248]; H: 62.30596923828125
SENSE daac 53 22-04-2019 11:27:55.235 T: 27.268798828125 [C]; A:[0, 60, 192]; H: 63.32830810546875
SENSE daad 54 22-04-2019 11:27:55.527 T: 25.83359909057617 [C]; A:[0, 2, 232]; H: 64.59478759765625
SENSE daac 54 22-04-2019 11:27:56.030 T: 27.268798828125 [C]; A:[0, 64, 192]; H: 63.32830810546875
SENSE daad 55 22-04-2019 11:27:56.462 T: 25.83359909057617 [C]; A:[0, 6, 228]; H: 64.5718994140625
SENSE daab 31 22-04-2019 11:27:35.806 T: 28.14239883422851 [C]; A:[-48, -28, 168]; H: 60.82586669921875
SENSE daab 32 22-04-2019 11:27:41.237 T: 28.2047996520996 [C]; A:[54, 86, 318]; H: 61.0623779296875
SENSE daad 56 22-04-2019 11:27:57.092 T: 25.77120018005371 [C]; A:[0, 2, 268]; H: 64.5413818359375
SENSE daab 33 22-04-2019 11:27:41.650 T: 28.14239883422851 [C]; A:[78, 102, 318]; H: 61.0623779296875
SENSE daab 34 22-04-2019 11:27:42.114 T: 28.14239883422851 [C]; A:[-56, -32, 160]; H: 61.0623779296875
SENSE daad 57 22-04-2019 11:27:58.289 T: 25.83359909057617 [C]; A:[0, 2, 230]; H: 64.5108642578125
SENSE daab 35 22-04-2019 11:27:42.522 T: 28.2047996520996 [C]; A:[-48, -28, 160]; H: 61.0623779296875
SENSE daab 36 22-04-2019 11:27:42.961 T: 28.2047996520996 [C]; A:[38, 94, 334]; H: 61.0623779296875
SENSE daad 58 22-04-2019 11:27:59.357 T: 25.83359909057617 [C]; A:[-6, 8, 232]; H: 64.5108642578125
SENSE daab 37 22-04-2019 11:27:43.366 T: 28.2047996520996 [C]; A:[62, 94, 326]; H: 61.0928955078125
SENSE daab 38 22-04-2019 11:27:43.763 T: 28.2047996520996 [C]; A:[70, 82, 280]; H: 61.0928955078125
SENSE daaa 50 22-04-2019 11:27:55.821 T: 26.08319854736328 [C]; A:[2, -4, 248]; H: 62.36700439453125
SENSE daab 39 22-04-2019 11:27:44.149 T: 28.2047996520996 [C]; A:[-40, 22, 286]; H: 61.1234130859375
SENSE daaa 51 22-04-2019 11:28:01.336 T: 26.08319854736328 [C]; A:[6, -8, 250]; H: 62.603515625
SENSE daab 40 22-04-2019 11:27:44.621 T: 28.2047996520996 [C]; A:[46, 94, 334]; H: 61.1234130859375
SENSE daac 55 22-04-2019 11:27:56.605 T: 27.268798828125 [C]; A:[0, 64, 192]; H: 63.29779052734375
SENSE daab 41 22-04-2019 11:27:45.067 T: 28.2047996520996 [C]; A:[62, 32, 208]; H: 61.1234130859375
SENSE daab 42 22-04-2019 11:27:45.527 T: 28.2047996520996 [C]; A:[-48, -24, 196]; H: 61.1234130859375
SENSE daac 56 22-04-2019 11:28:02.502 T: 27.268798828125 [C]; A:[0, 64, 192]; H: 63.183349609375
SENSE daab 43 22-04-2019 11:27:45.923 T: 28.2047996520996 [C]; A:[-56, -32, 164]; H: 61.1234130859375
SENSE daab 44 22-04-2019 11:27:46.366 T: 28.2047996520996 [C]; A:[0, 0, 176]; H: 61.1539306640625
SENSE daac 57 22-04-2019 11:28:03.602 T: 27.268798828125 [C]; A:[0, 62, 194]; H: 63.15283203125
SENSE daad 59 22-04-2019 11:28:04.821 T: 25.83359909057617 [C]; A:[-8, 4, 228]; H: 64.404052734375
SENSE daad 60 22-04-2019 11:28:05.398 T: 25.83359909057617 [C]; A:[-4, 2, 232]; H: 64.404052734375
SENSE daad 61 22-04-2019 11:28:06.004 T: 25.83359909057617 [C]; A:[-8, 6, 230]; H: 64.37353515625
SENSE daaa 52 22-04-2019 11:28:01.905 T: 26.08319854736328 [C]; A:[4, -8, 248]; H: 62.572998046875
SENSE daad 62 22-04-2019 11:28:06.580 T: 25.83359909057617 [C]; A:[0, 0, 228]; H: 64.37353515625
SENSE daaa 53 22-04-2019 11:28:07.150 T: 26.08319854736328 [C]; A:[8, -12, 250]; H: 62.4814453125
SENSE daad 63 22-04-2019 11:28:07.424 T: 25.89599990844726 [C]; A:[0, 4, 230]; H: 64.37353515625
SENSE daaa 54 22-04-2019 11:28:07.718 T: 26.14559936523437 [C]; A:[8, -6, 254]; H: 62.4814453125
SENSE daad 64 22-04-2019 11:28:08.001 T: 25.89599990844726 [C]; A:[0, 0, 230]; H: 64.37353515625
SENSE daaa 55 22-04-2019 11:28:08.300 T: 26.08319854736328 [C]; A:[8, -4, 252]; H: 62.4814453125
SENSE daaa 56 22-04-2019 11:28:08.872 T: 26.08319854736328 [C]; A:[4, 0, 246]; H: 62.4814453125
SENSE daaa 57 22-04-2019 11:28:09.320 T: 26.14559936523437 [C]; A:[6, -4, 250]; H: 62.4814453125
SENSE daaa 58 22-04-2019 11:28:09.789 T: 26.08319854736328 [C]; A:[0, -6, 244]; H: 62.45855712890625
SENSE daaa 59 22-04-2019 11:28:10.246 T: 26.08319854736328 [C]; A:[2, 0, 256]; H: 62.45855712890625
